TAA_Bin,Band_Index,EffCos_Lo,EffCos_Hi,Gen_PSD_Dawn,Gen_TD_Dawn,Gen_PSD_Dusk,Gen_TD_Dusk,Stock_Dawn,Stock_Dusk,Step_Count
28,5,0.5500,1.0100,1.6510e+28,2.9540e+29,1.5790e+28,2.9084e+29,7.8869e+30,7.3171e+30,142
29,0,0.0000,0.0500,7.5900e+27,1.0000e+25,2.4900e+27,3.0000e+25,1.0882e+32,2.9157e+31,142
29,1,0.0500,0.1000,4.9900e+27,3.5000e+26,2.6400e+27,1.7000e+26,2.0971e+31,1.4471e+31,142
29,2,0.1000,0.2000,1.3790e+28,4.4900e+27,7.6900e+27,3.0600e+27,3.2405e+31,1.8166e+31,142
29,3,0.2000,0.3500,1.6550e+28,1.9570e+28,1.2700e+28,1.5380e+28,2.1200e+31,1.6810e+31,142
29,4,0.3500,0.5500,1.6950e+28,6.4840e+28,1.3990e+28,5.8010e+28,1.2727e+31,1.0655e+31,142
29,5,0.5500,1.0100,1.7130e+28,3.0189e+29,1.5340e+28,2.9638e+29,7.9690e+30,7.3956e+30,142
30,0,0.0000,0.0500,7.6100e+27,2.0000e+25,2.5600e+27,4.0000e+25,1.0939e+32,2.9348e+31,143
30,1,0.0500,0.1000,5.0600e+27,4.1000e+26,2.7700e+27,3.6000e+26,2.0963e+31,1.4536e+31,143
30,2,0.1000,0.2000,1.3900e+28,4.4500e+27,8.4800e+27,2.5600e+27,3.2457e+31,1.8264e+31,143
30,3,0.2000,0.3500,1.7110e+28,1.8890e+28,1.3110e+28,1.6660e+28,2.1271e+31,1.6858e+31,143
30,4,0.3500,0.5500,1.6580e+28,6.1470e+28,1.4530e+28,5.7860e+28,1.2778e+31,1.0769e+31,143
30,5,0.5500,1.0100,1.6960e+28,3.0088e+29,1.5690e+28,2.9229e+29,8.0557e+30,7.4175e+30,143
31,0,0.0000,0.0500,7.6700e+27,1.0000e+25,2.7200e+27,1.0000e+25,1.0914e+32,3.0405e+31,143
31,1,0.0500,0.1000,4.8800e+27,5.0000e+26,2.8300e+27,1.6000e+26,2.0796e+31,1.3457e+31,143
31,2,0.1000,0.2000,1.3220e+28,4.2700e+27,7.6300e+27,2.7100e+27,3.2182e+31,1.8256e+31,143
31,3,0.2000,0.3500,1.6020e+28,1.9280e+28,1.3440e+28,1.6580e+28,2.1232e+31,1.6853e+31,143
31,4,0.3500,0.5500,1.6300e+28,6.3140e+28,1.4500e+28,5.8900e+28,1.2688e+31,1.0804e+31,143
31,5,0.5500,1.0100,1.7040e+28,3.0167e+29,1.6290e+28,2.8694e+29,8.0644e+30,7.4440e+30,143
32,0,0.0000,0.0500,8.2500e+27,3.0000e+25,2.5100e+27,3.0000e+25,1.0965e+32,3.0787e+31,144
32,1,0.0500,0.1000,4.6400e+27,5.1000e+26,2.9300e+27,1.6000e+26,2.0752e+31,1.3344e+31,144
32,2,0.1000,0.2000,1.2960e+28,4.0600e+27,7.5300e+27,2.7600e+27,3.2116e+31,1.8412e+31,144
32,3,0.2000,0.3500,1.6040e+28,1.8670e+28,1.3790e+28,1.5760e+28,2.1255e+31,1.6895e+31,144
32,4,0.3500,0.5500,1.6130e+28,6.4040e+28,1.4970e+28,5.9850e+28,1.2825e+31,1.0962e+31,144
32,5,0.5500,1.0100,1.7530e+28,2.9811e+29,1.6230e+28,2.9683e+29,8.1797e+30,7.5873e+30,144
33,0,0.0000,0.0500,7.7000e+27,3.0000e+25,2.6500e+27,1.0000e+25,1.0937e+32,3.0761e+31,144
33,1,0.0500,0.1000,4.6200e+27,3.7000e+26,2.5700e+27,2.6000e+26,2.0615e+31,1.3327e+31,144
33,2,0.1000,0.2000,1.2860e+28,3.9700e+27,7.8800e+27,2.7400e+27,3.1850e+31,1.8394e+31,144
33,3,0.2000,0.3500,1.5920e+28,1.8150e+28,1.3700e+28,1.6490e+28,2.1042e+31,1.6850e+31,144
33,4,0.3500,0.5500,1.6990e+28,5.9590e+28,1.4720e+28,5.9870e+28,1.2843e+31,1.1069e+31,144
33,5,0.5500,1.0100,1.7750e+28,2.9355e+29,1.6610e+28,2.8378e+29,8.2766e+30,7.6520e+30,144
34,0,0.0000,0.0500,7.6700e+27,0.0000e+00,2.5500e+27,2.0000e+25,1.0988e+32,3.0954e+31,145
34,1,0.0500,0.1000,4.5500e+27,4.0000e+26,2.7800e+27,1.1000e+26,2.0568e+31,1.3404e+31,145
34,2,0.1000,0.2000,1.3300e+28,4.3000e+27,8.0600e+27,2.9100e+27,3.1920e+31,1.8832e+31,145
