Wavelength(nm) Intensity
5.90346214e+02 5.62582496e+03
5.90349509e+02 5.80082410e+03
5.90352804e+02 5.66915637e+03
5.90356099e+02 5.55751519e+03
5.90359394e+02 5.66686616e+03
5.90362689e+02 5.21676772e+03
5.90365984e+02 4.94083460e+03
5.90369279e+02 4.81549368e+03
5.90372574e+02 4.47767469e+03
5.90375870e+02 4.52300457e+03
5.90379165e+02 4.77758470e+03
5.90382460e+02 5.03916388e+03
5.90385755e+02 5.09330674e+03
5.90389050e+02 5.32529251e+03
5.90392345e+02 5.24617216e+03
5.90395640e+02 5.55094432e+03
5.90398935e+02 5.79533704e+03
5.90402231e+02 5.48686050e+03
5.90405526e+02 5.66565071e+03
5.90408821e+02 5.50045396e+03
5.90412116e+02 5.61736926e+03
5.90415411e+02 5.48940541e+03
