TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Max_Flux_PSD,Min_Flux_PSD,Max_Flux_TD,Min_Flux_TD,Max_Flux_SWS,Min_Flux_SWS,Max_Flux_MMV,Min_Flux_MMV,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
99,8.1022e+29,3.5978e+29,4.4175e+29,1.7800e+27,6.9100e+27,3.2852e+29,3.1260e+28,2.4971e+29,1.9204e+29,1.2400e+27,5.4000e+26,3.4300e+27,3.4800e+27,6.4644e+08,8.0336e+03,8.1206e+08,6.7391e-20,1.7852e+07,5.1894e+02,4.3888e+05,4.3585e+05,44.4,54.5,0.2,0.9,8.1041e+29,7.9176e+29,1.0000e+28,8.6500e+27,2.2652e+28,0.0000e+00,97.7,1.2,1.1
100,8.1646e+29,3.7080e+29,4.3716e+29,1.6600e+27,6.8400e+27,3.3877e+29,3.2030e+28,2.4712e+29,1.9004e+29,1.0100e+27,6.5000e+26,3.3100e+27,3.5300e+27,6.5746e+08,8.3001e+03,9.5813e+08,3.8706e-18,1.7385e+07,5.3428e+02,4.3583e+05,4.3282e+05,45.4,53.5,0.2,0.8,8.1463e+29,7.9499e+29,1.0370e+28,9.2700e+27,2.2527e+28,0.0000e+00,97.6,1.3,1.1
101,8.2633e+29,3.7929e+29,4.3802e+29,2.1000e+27,6.9200e+27,3.4758e+29,3.1710e+28,2.5146e+29,1.8656e+29,1.2100e+27,8.9000e+26,3.5900e+27,3.3300e+27,6.6846e+08,8.5647e+03,9.4625e+08,2.4289e-18,1.7316e+07,5.5128e+02,4.3280e+05,4.2981e+05,45.9,53.0,0.3,0.8,8.2638e+29,8.0735e+29,9.9700e+27,9.0600e+27,2.2297e+28,0.0000e+00,97.7,1.2,1.1
102,8.5307e+29,3.9030e+29,4.5405e+29,1.8500e+27,6.8700e+27,3.5933e+29,3.0970e+28,2.6768e+29,1.8637e+29,9.9000e+26,8.6000e+26,3.4400e+27,3.4300e+27,6.7686e+08,8.8224e+03,7.6239e+08,3.7369e-20,1.6929e+07,5.6792e+02,4.2980e+05,4.2684e+05,45.8,53.2,0.2,0.8,8.5286e+29,8.3337e+29,1.0490e+28,9.0000e+27,2.2070e+28,0.0000e+00,97.7,1.2,1.1
103,8.6989e+29,4.0381e+29,4.5719e+29,1.9000e+27,6.9900e+27,3.7273e+29,3.1080e+28,2.8509e+29,1.7210e+29,1.1000e+27,8.0000e+26,3.4800e+27,3.5100e+27,6.8485e+08,9.1001e+03,9.5747e+08,1.0099e-20,1.6228e+07,5.8852e+02,4.2683e+05,4.2387e+05,46.4,52.6,0.2,0.8,8.7018e+29,8.5096e+29,1.0370e+28,8.8500e+27,2.2044e+28,0.0000e+00,97.8,1.2,1.0
104,8.7281e+29,4.1384e+29,4.5019e+29,1.8200e+27,6.9600e+27,3.8223e+29,3.1610e+28,2.8466e+29,1.6553e+29,1.1300e+27,6.9000e+26,3.6200e+27,3.3400e+27,6.9215e+08,9.3803e+03,8.9156e+08,1.0151e-20,1.6070e+07,6.1129e+02,4.2385e+05,4.2093e+05,47.4,51.6,0.2,0.8,8.7254e+29,8.5358e+29,1.0240e+28,8.7200e+27,2.1816e+28,0.0000e+00,97.8,1.2,1.0
105,8.9261e+29,4.2167e+29,4.6214e+29,1.9600e+27,6.8400e+27,3.9035e+29,3.1320e+28,2.8238e+29,1.7976e+29,1.2000e+27,7.6000e+26,3.4700e+27,3.3700e+27,6.9794e+08,4.2439e+03,8.6886e+08,1.0114e-20,2.2852e+07,6.2339e+02,4.2091e+05,4.1802e+05,47.2,51.8,0.2,0.8,8.9260e+29,8.7286e+29,1.0850e+28,8.8900e+27,2.1590e+28,0.0000e+00,97.8,1.2,1.0
106,8.8895e+29,4.3553e+29,4.4428e+29,2.1200e+27,7.0200e+27,4.0414e+29,3.1390e+28,2.7305e+29,1.7123e+29,1.3400e+27,7.8000e+26,3.2300e+27,3.7900e+27,7.0642e+08,9.9722e+03,7.4588e+08,1.0348e-20,2.2885e+07,6.4390e+02,4.1800e+05,4.1511e+05,49.0,50.0,0.2,0.8,8.8951e+29,8.6938e+29,1.0950e+28,9.1800e+27,2.1558e+28,0.0000e+00,97.7,1.2,1.0
107,9.0428e+29,4.4729e+29,4.4782e+29,2.2300e+27,6.9400e+27,4.1537e+29,3.1920e+28,2.7697e+29,1.7085e+29,1.4500e+27,7.8000e+26,3.5300e+27,3.4100e+27,7.1292e+08,1.0284e+04,8.3465e+08,1.0055e-20,2.2208e+07,6.6328e+02,4.1510e+05,4.1226e+05,49.5,49.5,0.2,0.8,9.0303e+29,8.8249e+29,1.1280e+28,9.2600e+27,2.1238e+28,0.0000e+00,97.7,1.2,1.0
108,9.6349e+29,4.6087e+29,4.9315e+29,2.5200e+27,6.9500e+27,4.3021e+29,3.0660e+28,3.0531e+29,1.8784e+29,1.5500e+27,9.7000e+26,3.4100e+27,3.5400e+27,7.1999e+08,1.0663e+04,7.1368e+08,1.8000e-20,2.1012e+07,6.8617e+02,4.1224e+05,4.0941e+05,47.8,51.2,0.3,0.7,9.6351e+29,9.4339e+29,1.1460e+28,8.6600e+27,2.1203e+28,0.0000e+00,97.9,1.2,0.9
109,9.7988e+29,4.7372e+29,4.9709e+29,2.0900e+27,6.9800e+27,4.4240e+29,3.1320e+28,3.1653e+29,1.8056e+29,1.3300e+27,7.6000e+26,3.5500e+27,3.4300e+27,7.2582e+08,1.1010e+04,7.2222e+08,2.3567e-18,2.0289e+07,7.1048e+02,4.0940e+05,4.0660e+05,48.3,50.7,0.2,0.7,9.7983e+29,9.5913e+29,1.1610e+28,9.0900e+27,2.0980e+28,0.0000e+00,97.9,1.2,0.9
110,9.8634e+29,4.8590e+29,4.9127e+29,2.1800e+27,6.9900e+27,4.5366e+29,3.2240e+28,3.1302e+29,1.7825e+29,1.3600e+27,8.2000e+26,3.7100e+27,3.2800e+27,7.3044e+08,1.1390e+04,8.3267e+08,1.1613e-19,1.9969e+07,7.4450e+02,4.0658e+05,4.0380e+05,49.3,49.8,0.2,0.7,9.8567e+29,9.6557e+29,1.1990e+28,8.1100e+27,2.0851e+28,0.0000e+00,98.0,1.2,0.8
111,9.7755e+29,4.9448e+29,4.7378e+29,2.3300e+27,6.9600e+27,4.6365e+29,3.0830e+28,3.1492e+29,1.5886e+29,1.4500e+27,8.8000e+26,3.2900e+27,3.6700e+27,7.3566e+08,1.1724e+04,7.1899e+08,1.0101e-20,1.9863e+07,7.5214e+02,4.0379e+05,4.0105e+05,50.6,48.5,0.2,0.7,9.7736e+29,9.5761e+29,1.1610e+28,8.1400e+27,2.0633e+28,0.0000e+00,98.0,1.2,0.8
112,1.0176e+30,5.0871e+29,4.9925e+29,2.7000e+27,6.9400e+27,4.7826e+29,3.0450e+28,3.2984e+29,1.6941e+29,1.7000e+27,1.0000e+27,3.4300e+27,3.5100e+27,7.4018e+08,1.2045e+04,7.4001e+08,1.0339e-20,1.9493e+07,7.8180e+02,4.0104e+05,3.9832e+05,50.0,49.1,0.3,0.7,1.0176e+30,9.9705e+29,1.2030e+28,8.4800e+27,2.0505e+28,0.0000e+00,98.0,1.2,0.8
113,1.0154e+30,5.1954e+29,4.8634e+29,2.6000e+27,6.9500e+27,4.8865e+29,3.0890e+28,3.1788e+29,1.6846e+29,1.7500e+27,8.5000e+26,3.5700e+27,3.3800e+27,7.4277e+08,2.2476e+03,6.3183e+08,1.0025e-20,2.6837e+07,8.0286e+02,3.9830e+05,3.9561e+05,51.2,47.9,0.3,0.7,1.0146e+30,9.9339e+29,1.2600e+28,8.6400e+27,2.0377e+28,0.0000e+00,97.9,1.2,0.9
114,1.0911e+30,5.3676e+29,5.4436e+29,2.9700e+27,7.0200e+27,5.0404e+29,3.2720e+28,3.3913e+29,2.0523e+29,2.0600e+27,9.1000e+26,3.4100e+27,3.6100e+27,7.4585e+08,1.2735e+04,7.0743e+08,1.0077e-20,2.7220e+07,8.3489e+02,3.9560e+05,3.9293e+05,49.2,49.9,0.3,0.6,1.0913e+30,1.0694e+30,1.3230e+28,8.6100e+27,2.0249e+28,0.0000e+00,98.0,1.2,0.8
