TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
45,5.4354e+29,1.5315e+29,3.8120e+29,2.3725e+27,6.8115e+27,9.1913e+28,6.1239e+28,1.9599e+29,1.8522e+29,1.1950e+27,1.1775e+27,3.4420e+27,3.3695e+27,28.2,70.1,0.4,1.3,5.4392e+29,5.2767e+29,1.1056e+28,5.1955e+27,3.1482e+28,0.0000e+00,97.0,2.0,1.0
46,5.4078e+29,1.5296e+29,3.7867e+29,2.3160e+27,6.8350e+27,9.2086e+28,6.0875e+28,1.9511e+29,1.8355e+29,1.2250e+27,1.0910e+27,3.3815e+27,3.4535e+27,28.3,70.0,0.4,1.3,5.4097e+29,5.2512e+29,1.0722e+28,5.1275e+27,3.1416e+28,0.0000e+00,97.1,2.0,0.9
47,5.3625e+29,1.5259e+29,3.7446e+29,2.3415e+27,6.8510e+27,9.2151e+28,6.0439e+28,1.9440e+29,1.8007e+29,1.1770e+27,1.1645e+27,3.4085e+27,3.4425e+27,28.5,69.8,0.4,1.3,5.3667e+29,5.2084e+29,1.0597e+28,5.2315e+27,3.1344e+28,0.0000e+00,97.1,2.0,1.0
48,5.2869e+29,1.5194e+29,3.6768e+29,2.2575e+27,6.8160e+27,9.1919e+28,6.0016e+28,1.8999e+29,1.7770e+29,1.1540e+27,1.1035e+27,3.4090e+27,3.4070e+27,28.7,69.5,0.4,1.3,5.2900e+29,5.1340e+29,1.0402e+28,5.2055e+27,3.1062e+28,0.0000e+00,97.0,2.0,1.0
49,5.2340e+29,1.5171e+29,3.6256e+29,2.2950e+27,6.8315e+27,9.1962e+28,5.9751e+28,1.8759e+29,1.7497e+29,1.1910e+27,1.1040e+27,3.4360e+27,3.3955e+27,29.0,69.3,0.4,1.3,5.2380e+29,5.0827e+29,1.0249e+28,5.2810e+27,3.0979e+28,0.0000e+00,97.0,2.0,1.0
50,5.1920e+29,1.5172e+29,3.5832e+29,2.3190e+27,6.8365e+27,9.2295e+28,5.9428e+28,1.8611e+29,1.7221e+29,1.1625e+27,1.1565e+27,3.4625e+27,3.3740e+27,29.2,69.0,0.4,1.3,5.1942e+29,5.0397e+29,1.0032e+28,5.4115e+27,3.0889e+28,0.0000e+00,97.0,1.9,1.0
51,5.1177e+29,1.5048e+29,3.5225e+29,2.2300e+27,6.8040e+27,9.1953e+28,5.8525e+28,1.8361e+29,1.6864e+29,1.1300e+27,1.1000e+27,3.3960e+27,3.4080e+27,29.4,68.8,0.4,1.3,5.1206e+29,4.9687e+29,9.8360e+27,5.3615e+27,3.0596e+28,0.0000e+00,97.0,1.9,1.0
52,5.1148e+29,1.5182e+29,3.5055e+29,2.2505e+27,6.8640e+27,9.3126e+28,5.8689e+28,1.8316e+29,1.6738e+29,1.1175e+27,1.1330e+27,3.4520e+27,3.4120e+27,29.7,68.5,0.4,1.3,5.1183e+29,4.9661e+29,9.7945e+27,5.4215e+27,3.0692e+28,0.0000e+00,97.0,1.9,1.1
53,5.0540e+29,1.5044e+29,3.4589e+29,2.2370e+27,6.8315e+27,9.2620e+28,5.7821e+28,1.8100e+29,1.6488e+29,1.0825e+27,1.1545e+27,3.4405e+27,3.3910e+27,29.8,68.4,0.4,1.4,5.0557e+29,4.9054e+29,9.6000e+27,5.4255e+27,3.0390e+28,0.0000e+00,97.0,1.9,1.1
54,5.0448e+29,1.5058e+29,3.4492e+29,2.1370e+27,6.8410e+27,9.3034e+28,5.7545e+28,1.8169e+29,1.6323e+29,1.1040e+27,1.0330e+27,3.4390e+27,3.4020e+27,29.8,68.4,0.4,1.4,5.0463e+29,4.8985e+29,9.3500e+27,5.4330e+27,3.0279e+28,0.0000e+00,97.1,1.9,1.1
55,4.9824e+29,1.5017e+29,3.3913e+29,2.1320e+27,6.8045e+27,9.3073e+28,5.7101e+28,1.7857e+29,1.6056e+29,1.0790e+27,1.0530e+27,3.4210e+27,3.3835e+27,30.1,68.1,0.4,1.4,4.9861e+29,4.8382e+29,9.3370e+27,5.4555e+27,2.9973e+28,0.0000e+00,97.0,1.9,1.1
56,5.0004e+29,1.5100e+29,3.3994e+29,2.2375e+27,6.8600e+27,9.4119e+28,5.6881e+28,1.8023e+29,1.5971e+29,1.1610e+27,1.0765e+27,3.4815e+27,3.3785e+27,30.2,68.0,0.4,1.4,5.0009e+29,4.8554e+29,9.1515e+27,5.3965e+27,3.0040e+28,0.0000e+00,97.1,1.8,1.1
57,4.9366e+29,1.4982e+29,3.3477e+29,2.2535e+27,6.8160e+27,9.3860e+28,5.5960e+28,1.7767e+29,1.5711e+29,1.1570e+27,1.0965e+27,3.4035e+27,3.4125e+27,30.3,67.8,0.5,1.4,4.9398e+29,4.7958e+29,8.9000e+27,5.4970e+27,2.9727e+28,0.0000e+00,97.1,1.8,1.1
58,4.9545e+29,1.5112e+29,3.3530e+29,2.1605e+27,6.8745e+27,9.5163e+28,5.5955e+28,1.7896e+29,1.5634e+29,1.0940e+27,1.0665e+27,3.4685e+27,3.4060e+27,30.5,67.7,0.4,1.4,4.9557e+29,4.8121e+29,8.9480e+27,5.4155e+27,2.9779e+28,0.0000e+00,97.1,1.8,1.1
59,4.9099e+29,1.5019e+29,3.3176e+29,2.2045e+27,6.8375e+27,9.5030e+28,5.5159e+28,1.7747e+29,1.5429e+29,1.1210e+27,1.0835e+27,3.4240e+27,3.4135e+27,30.6,67.6,0.4,1.4,4.9124e+29,4.7693e+29,8.8115e+27,5.4955e+27,2.9458e+28,0.0000e+00,97.1,1.8,1.1
60,4.8929e+29,1.5109e+29,3.2917e+29,2.1915e+27,6.8390e+27,9.6039e+28,5.5051e+28,1.7778e+29,1.5139e+29,1.1220e+27,1.0695e+27,3.4255e+27,3.4135e+27,30.9,67.3,0.4,1.4,4.8931e+29,4.7523e+29,8.7110e+27,5.3720e+27,2.9317e+28,0.0000e+00,97.1,1.8,1.1
61,4.8681e+29,1.5078e+29,3.2701e+29,2.1755e+27,6.8420e+27,9.6310e+28,5.4473e+28,1.7691e+29,1.5010e+29,1.0545e+27,1.1210e+27,3.3805e+27,3.4615e+27,31.0,67.2,0.4,1.4,4.8705e+29,4.7293e+29,8.6820e+27,5.4370e+27,2.9172e+28,0.0000e+00,97.1,1.8,1.1
62,4.8535e+29,1.5097e+29,3.2532e+29,2.2110e+27,6.8490e+27,9.6745e+28,5.4229e+28,1.7581e+29,1.4951e+29,1.1000e+27,1.1110e+27,3.3880e+27,3.4610e+27,31.1,67.0,0.5,1.4,4.8557e+29,4.7161e+29,8.5410e+27,5.4205e+27,2.9021e+28,0.0000e+00,97.1,1.8,1.1
63,4.8461e+29,1.5099e+29,3.2458e+29,2.1730e+27,6.8565e+27,9.7511e+28,5.3484e+28,1.7643e+29,1.4816e+29,1.0770e+27,1.0960e+27,3.4290e+27,3.4275e+27,31.2,67.0,0.4,1.4,4.8478e+29,4.7083e+29,8.4985e+27,5.4445e+27,2.8866e+28,0.0000e+00,97.1,1.8,1.1
