TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped,Hop_Count,Hop_Per_Particle
151,1.7232e+30,8.6363e+29,8.3977e+29,1.2746e+28,7.0590e+27,7.7625e+29,8.7387e+28,7.0221e+29,1.3756e+29,9.6500e+27,3.0960e+27,3.4770e+27,3.5820e+27,50.1,48.7,0.7,0.4,1.7226e+30,1.6983e+30,1.9993e+28,4.2950e+27,1.5860e+28,0.0000e+00,98.6,1.2,0.2,6.6980e+28,0.0389
152,1.7645e+30,8.7727e+29,8.6630e+29,1.3849e+28,7.0580e+27,7.8646e+29,9.0807e+28,7.2230e+29,1.4401e+29,1.0483e+28,3.3660e+27,3.5370e+27,3.5210e+27,49.7,49.1,0.8,0.4,1.7638e+30,1.7390e+30,2.0667e+28,4.1940e+27,1.5774e+28,0.0000e+00,98.6,1.2,0.2,6.9377e+28,0.0393
153,1.8049e+30,8.9225e+29,8.8994e+29,1.5622e+28,7.0520e+27,7.9305e+29,9.9202e+28,7.2721e+29,1.6273e+29,1.2055e+28,3.5670e+27,3.5680e+27,3.4840e+27,49.4,49.3,0.9,0.4,1.8043e+30,1.7787e+30,2.0900e+28,4.7030e+27,1.5693e+28,0.0000e+00,98.6,1.2,0.3,7.2105e+28,0.0400
154,1.8507e+30,9.1038e+29,9.1769e+29,1.5584e+28,7.0840e+27,8.1006e+29,1.0032e+29,7.5614e+29,1.6155e+29,1.1906e+28,3.6780e+27,3.6930e+27,3.3910e+27,49.2,49.6,0.8,0.4,1.8502e+30,1.8242e+30,2.1634e+28,4.3560e+27,1.5669e+28,0.0000e+00,98.6,1.2,0.2,7.5573e+28,0.0408
155,1.8875e+30,9.2261e+29,9.4217e+29,1.5694e+28,7.0460e+27,8.2120e+29,1.0140e+29,7.7926e+29,1.6291e+29,1.1954e+28,3.7400e+27,3.5080e+27,3.5380e+27,48.9,49.9,0.8,0.4,1.8866e+30,1.8604e+30,2.2019e+28,4.1650e+27,1.5544e+28,0.0000e+00,98.6,1.2,0.2,7.7343e+28,0.0410
156,1.9377e+30,9.4045e+29,9.7452e+29,1.5680e+28,7.0770e+27,8.3818e+29,1.0227e+29,8.1168e+29,1.6283e+29,1.1806e+28,3.8740e+27,3.5400e+27,3.5370e+27,48.5,50.3,0.8,0.4,1.9370e+30,1.9101e+30,2.2759e+28,4.1080e+27,1.5528e+28,0.0000e+00,98.6,1.2,0.2,8.0460e+28,0.0415
157,1.9760e+30,9.5228e+29,9.9817e+29,1.8544e+28,7.0510e+27,8.3707e+29,1.1521e+29,8.0818e+29,1.8999e+29,1.4355e+28,4.1890e+27,3.5260e+27,3.5250e+27,48.2,50.5,0.9,0.4,1.9748e+30,1.9473e+30,2.3340e+28,4.2390e+27,1.5413e+28,0.0000e+00,98.6,1.2,0.2,8.2752e+28,0.0419
158,2.0262e+30,9.7145e+29,1.0288e+30,1.8943e+28,7.0670e+27,8.5253e+29,1.1892e+29,8.3421e+29,1.9457e+29,1.4499e+28,4.4440e+27,3.4770e+27,3.5900e+27,47.9,50.8,0.9,0.3,2.0257e+30,1.9976e+30,2.3829e+28,4.2990e+27,1.5405e+28,0.0000e+00,98.6,1.2,0.2,8.6604e+28,0.0428
159,2.0700e+30,9.8693e+29,1.0571e+30,1.8833e+28,7.0720e+27,8.6720e+29,1.1973e+29,8.6301e+29,1.9414e+29,1.4292e+28,4.5410e+27,3.4970e+27,3.5750e+27,47.7,51.1,0.9,0.3,2.0693e+30,2.0409e+30,2.4139e+28,4.1740e+27,1.5351e+28,0.0000e+00,98.6,1.2,0.2,8.8598e+28,0.0428
160,2.1061e+30,9.9914e+29,1.0810e+30,1.8923e+28,7.0440e+27,8.7831e+29,1.2083e+29,8.8890e+29,1.9214e+29,1.4254e+28,4.6690e+27,3.5080e+27,3.5360e+27,47.4,51.3,0.9,0.3,2.1057e+30,2.0769e+30,2.4899e+28,3.9750e+27,1.5251e+28,0.0000e+00,98.6,1.2,0.2,9.0704e+28,0.0431
161,2.1502e+30,1.0127e+30,1.1095e+30,2.0920e+28,7.0480e+27,8.8220e+29,1.3049e+29,8.9816e+29,2.1136e+29,1.5891e+28,5.0290e+27,3.5470e+27,3.5010e+27,47.1,51.6,1.0,0.3,2.1489e+30,2.1194e+30,2.5345e+28,4.1440e+27,1.5206e+28,0.0000e+00,98.6,1.2,0.2,9.4176e+28,0.0438
162,2.1983e+30,1.0313e+30,1.1377e+30,2.2242e+28,7.0880e+27,8.9053e+29,1.4074e+29,9.0852e+29,2.2922e+29,1.6980e+28,5.2620e+27,3.5110e+27,3.5770e+27,46.9,51.8,1.0,0.3,2.1978e+30,2.1676e+30,2.5788e+28,4.4270e+27,1.5215e+28,0.0000e+00,98.6,1.2,0.2,9.7048e+28,0.0442
163,2.2343e+30,1.0429e+30,1.1618e+30,2.2433e+28,7.0660e+27,9.0150e+29,1.4144e+29,9.3323e+29,2.2861e+29,1.6921e+28,5.5120e+27,3.4730e+27,3.5930e+27,46.7,52.0,1.0,0.3,2.2338e+30,2.2033e+30,2.6206e+28,4.2620e+27,1.5130e+28,0.0000e+00,98.6,1.2,0.2,9.8548e+28,0.0441
164,2.2696e+30,1.0542e+30,1.1866e+30,2.1819e+28,7.0510e+27,9.1193e+29,1.4223e+29,9.6030e+29,2.2632e+29,1.6407e+28,5.4120e+27,3.5870e+27,3.4640e+27,46.4,52.3,1.0,0.3,2.2690e+30,2.2384e+30,2.6522e+28,4.0540e+27,1.5050e+28,0.0000e+00,98.7,1.2,0.2,1.0119e+29,0.0446
165,2.3192e+30,1.0714e+30,1.2174e+30,2.3324e+28,7.0840e+27,9.2133e+29,1.5008e+29,9.7791e+29,2.3947e+29,1.7498e+28,5.8260e+27,3.5580e+27,3.5260e+27,46.2,52.5,1.0,0.3,2.3184e+30,2.2871e+30,2.7195e+28,4.0630e+27,1.5072e+28,0.0000e+00,98.7,1.2,0.2,1.0426e+29,0.0450
166,2.3506e+30,1.0808e+30,1.2373e+30,2.5470e+28,7.0740e+27,9.1618e+29,1.6463e+29,9.6806e+29,2.6923e+29,1.9167e+28,6.3030e+27,3.5310e+27,3.5430e+27,46.0,52.6,1.1,0.3,2.3504e+30,2.3186e+30,2.7443e+28,4.3950e+27,1.5002e+28,0.0000e+00,98.6,1.2,0.2,1.0619e+29,0.0452
167,2.3905e+30,1.0959e+30,1.2622e+30,2.5258e+28,7.0770e+27,9.2959e+29,1.6629e+29,9.9676e+29,2.6548e+29,1.8989e+28,6.2690e+27,3.5240e+27,3.5530e+27,45.8,52.8,1.1,0.3,2.3896e+30,2.3574e+30,2.7859e+28,4.3220e+27,1.4985e+28,0.0000e+00,98.7,1.2,0.2,1.0884e+29,0.0455
168,2.4201e+30,1.1058e+30,1.2824e+30,2.4911e+28,7.0690e+27,9.3944e+29,1.6635e+29,1.0202e+30,2.6222e+29,1.8517e+28,6.3940e+27,3.5680e+27,3.5010e+27,45.7,53.0,1.0,0.3,2.4197e+30,2.3873e+30,2.8129e+28,4.2710e+27,1.4925e+28,0.0000e+00,98.7,1.2,0.2,1.1191e+29,0.0463
169,2.4585e+30,1.1173e+30,1.3088e+30,2.5336e+28,7.0810e+27,9.4645e+29,1.7081e+29,1.0404e+30,2.6841e+29,1.8598e+28,6.7380e+27,3.5220e+27,3.5590e+27,45.4,53.2,1.0,0.3,2.4578e+30,2.4253e+30,2.8400e+28,4.1480e+27,1.4918e+28,0.0000e+00,98.7,1.2,0.2,1.1476e+29,0.0467
170,2.4889e+30,1.1265e+30,1.3273e+30,2.8150e+28,7.0440e+27,9.3477e+29,1.9173e+29,1.0170e+30,3.1028e+29,2.0985e+28,7.1650e+27,3.5920e+27,3.4520e+27,45.3,53.3,1.1,0.3,2.4885e+30,2.4548e+30,2.9056e+28,4.5900e+27,1.4868e+28,0.0000e+00,98.6,1.2,0.2,1.1686e+29,0.0470
171,2.5252e+30,1.1390e+30,1.3509e+30,2.8204e+28,7.0790e+27,9.4560e+29,1.9342e+29,1.0434e+30,3.0758e+29,2.0806e+28,7.3980e+27,3.4950e+27,3.5840e+27,45.1,53.5,1.1,0.3,2.5246e+30,2.4909e+30,2.9195e+28,4.4680e+27,1.4870e+28,0.0000e+00,98.7,1.2,0.2,1.1895e+29,0.0471
172,2.5493e+30,1.1477e+30,1.3668e+30,2.7711e+28,7.0720e+27,9.5425e+29,1.9347e+29,1.0646e+30,3.0215e+29,2.0249e+28,7.4620e+27,3.5300e+27,3.5420e+27,45.0,53.6,1.1,0.3,2.5488e+30,2.5148e+30,2.9636e+28,4.3610e+27,1.4830e+28,0.0000e+00,98.7,1.2,0.2,1.2241e+29,0.0480
173,2.5838e+30,1.1586e+30,1.3906e+30,2.7468e+28,7.0800e+27,9.6456e+29,1.9407e+29,1.0907e+30,2.9992e+29,1.9979e+28,7.4890e+27,3.5320e+27,3.5480e+27,44.8,53.8,1.1,0.3,2.5830e+30,2.5482e+30,3.0420e+28,4.4160e+27,1.4842e+28,0.0000e+00,98.7,1.2,0.2,1.2361e+29,0.0479
174,2.6122e+30,1.1668e+30,1.4073e+30,3.1063e+28,7.0770e+27,9.4621e+29,2.2059e+29,1.0543e+30,3.5296e+29,2.2823e+28,8.2400e+27,3.6140e+27,3.4630e+27,44.7,53.9,1.2,0.3,2.6122e+30,2.5769e+30,3.0493e+28,4.7720e+27,1.4812e+28,0.0000e+00,98.6,1.2,0.2,1.2591e+29,0.0482
175,2.6344e+30,1.1738e+30,1.4231e+30,3.0422e+28,7.0840e+27,9.5333e+29,2.2047e+29,1.0767e+30,3.4640e+29,2.2058e+28,8.3640e+27,3.5320e+27,3.5520e+27,44.6,54.0,1.2,0.3,2.6339e+30,2.5986e+30,3.0556e+28,4.7460e+27,1.4787e+28,0.0000e+00,98.7,1.2,0.2,1.2832e+29,0.0487
