TAA_Bin,Band_Index,EffCos_Lo,EffCos_Hi,Gen_PSD_Dawn,Gen_TD_Dawn,Gen_PSD_Dusk,Gen_TD_Dusk,Stock_Dawn,Stock_Dusk,Step_Count
16,2,0.1000,0.2000,1.6650e+28,4.7900e+27,9.3700e+27,2.7100e+27,1.5342e+31,8.4100e+30,138
16,3,0.2000,0.3500,1.8550e+28,1.9330e+28,1.5230e+28,1.4560e+28,9.4330e+30,7.4692e+30,138
16,4,0.3500,0.5500,1.9170e+28,5.6680e+28,1.5920e+28,4.8900e+28,5.6923e+30,4.6863e+30,138
16,5,0.5500,1.0100,1.8580e+28,2.3324e+29,1.6430e+28,2.2774e+29,3.5438e+30,3.1377e+30,138
17,0,0.0000,0.0500,1.7380e+28,5.0000e+25,3.5500e+27,4.0000e+25,1.1731e+32,1.7743e+31,138
17,1,0.0500,0.1000,5.8700e+27,4.7000e+26,3.1000e+27,2.3000e+26,1.0028e+31,6.6590e+30,138
17,2,0.1000,0.2000,1.6540e+28,4.7400e+27,9.1900e+27,2.7800e+27,1.5211e+31,8.3756e+30,138
17,3,0.2000,0.3500,1.9680e+28,1.7970e+28,1.5690e+28,1.5290e+28,9.4874e+30,7.4514e+30,138
17,4,0.3500,0.5500,1.8430e+28,5.3010e+28,1.6340e+28,5.1680e+28,5.5459e+30,4.6888e+30,138
17,5,0.5500,1.0100,1.8200e+28,2.3627e+29,1.7490e+28,2.3345e+29,3.5057e+30,3.2397e+30,138
18,0,0.0000,0.0500,1.7810e+28,0.0000e+00,3.7500e+27,1.0000e+25,1.1710e+32,1.7840e+31,139
18,1,0.0500,0.1000,5.6300e+27,3.1000e+26,3.3300e+27,2.9000e+26,9.9522e+30,6.6607e+30,139
18,2,0.1000,0.2000,1.5420e+28,4.4200e+27,9.2000e+27,2.6600e+27,1.5165e+31,8.4191e+30,139
18,3,0.2000,0.3500,1.8970e+28,1.7500e+28,1.4960e+28,1.6110e+28,9.3333e+30,7.5382e+30,139
18,4,0.3500,0.5500,1.7630e+28,5.2120e+28,1.5590e+28,5.1200e+28,5.4378e+30,4.7427e+30,139
18,5,0.5500,1.0100,1.8250e+28,2.3445e+29,1.7030e+28,2.3160e+29,3.5071e+30,3.3432e+30,139
19,0,0.0000,0.0500,1.6110e+28,4.0000e+25,3.6300e+27,4.0000e+25,1.1602e+32,1.7105e+31,139
19,1,0.0500,0.1000,5.5800e+27,4.3000e+26,3.4100e+27,1.7000e+26,9.7880e+30,7.3037e+30,139
19,2,0.1000,0.2000,1.6430e+28,4.0200e+27,8.8800e+27,2.4400e+27,1.4959e+31,8.3492e+30,139
19,3,0.2000,0.3500,1.8470e+28,1.7040e+28,1.5200e+28,1.5850e+28,9.1954e+30,7.5789e+30,139
19,4,0.3500,0.5500,1.7680e+28,5.2860e+28,1.6100e+28,5.0080e+28,5.4288e+30,4.7082e+30,139
19,5,0.5500,1.0100,1.8830e+28,2.2164e+29,1.6950e+28,2.3291e+29,3.4620e+30,3.2768e+30,139
20,0,0.0000,0.0500,1.6760e+28,4.0000e+25,3.4900e+27,2.0000e+25,1.1492e+32,1.6935e+31,139
20,1,0.0500,0.1000,5.7600e+27,5.1000e+26,3.7700e+27,1.7000e+26,9.6645e+30,7.3798e+30,139
20,2,0.1000,0.2000,1.6260e+28,4.4300e+27,8.8800e+27,2.6400e+27,1.4867e+31,8.3186e+30,139
20,3,0.2000,0.3500,1.8270e+28,1.7860e+28,1.5220e+28,1.5730e+28,9.1546e+30,7.5389e+30,139
20,4,0.3500,0.5500,1.7980e+28,5.2160e+28,1.6380e+28,5.1530e+28,5.4009e+30,4.7325e+30,139
20,5,0.5500,1.0100,1.8430e+28,2.2642e+29,1.7290e+28,2.2473e+29,3.4443e+30,3.1839e+30,139
21,0,0.0000,0.0500,1.6520e+28,3.0000e+25,3.4900e+27,1.0000e+25,1.1392e+32,1.6876e+31,139
21,1,0.0500,0.1000,6.1100e+27,4.8000e+26,3.6700e+27,2.2000e+26,9.5772e+30,7.3600e+30,139
21,2,0.1000,0.2000,1.5170e+28,4.2100e+27,8.8800e+27,2.5400e+27,1.4690e+31,8.3221e+30,139
21,3,0.2000,0.3500,1.7640e+28,1.7420e+28,1.4480e+28,1.5730e+28,9.1272e+30,7.4279e+30,139
21,4,0.3500,0.5500,1.8070e+28,5.2790e+28,1.6090e+28,5.0930e+28,5.3492e+30,4.8086e+30,139
21,5,0.5500,1.0100,1.9080e+28,2.3312e+29,1.6590e+28,2.2311e+29,3.4643e+30,3.2184e+30,139
22,0,0.0000,0.0500,1.7170e+28,1.0000e+25,3.1200e+27,5.0000e+25,1.1378e+32,1.6960e+31,140
22,1,0.0500,0.1000,5.9900e+27,4.1000e+26,3.7000e+27,2.4000e+26,9.5758e+30,7.3948e+30,140
22,2,0.1000,0.2000,1.4980e+28,4.2300e+27,9.3100e+27,2.7400e+27,1.4609e+31,8.4135e+30,140
22,3,0.2000,0.3500,1.8410e+28,1.7180e+28,1.4960e+28,1.7730e+28,9.1246e+30,7.4570e+30,140
22,4,0.3500,0.5500,1.7670e+28,5.0460e+28,1.6340e+28,5.0740e+28,5.3229e+30,4.8930e+30,140
22,5,0.5500,1.0100,1.7210e+28,2.2103e+29,1.8010e+28,2.3021e+29,3.4053e+30,3.2563e+30,140
23,0,0.0000,0.0500,1.5780e+28,1.0000e+25,3.4600e+27,2.0000e+25,1.1282e+32,1.6942e+31,140
23,1,0.0500,0.1000,5.7800e+27,4.8000e+26,3.6300e+27,2.5000e+26,9.4601e+30,7.3787e+30,140
23,2,0.1000,0.2000,1.5060e+28,3.9800e+27,9.6100e+27,2.5000e+27,1.4426e+31,8.4680e+30,140
23,3,0.2000,0.3500,1.8200e+28,1.7710e+28,1.5670e+28,1.6650e+28,9.0879e+30,7.5836e+30,140
23,4,0.3500,0.5500,1.7890e+28,4.9830e+28,1.6380e+28,5.2430e+28,5.2817e+30,4.9193e+30,140
23,5,0.5500,1.0100,1.7030e+28,2.0471e+29,1.8360e+28,2.2598e+29,3.2298e+30,3.2637e+30,140
24,0,0.0000,0.0500,1.5040e+28,3.0000e+25,3.2100e+27,2.0000e+25,1.1186e+32,1.6901e+31,140
24,1,0.0500,0.1000,5.9600e+27,3.4000e+26,3.7100e+27,2.1000e+26,9.2988e+30,7.3844e+30,140
24,2,0.1000,0.2000,1.5680e+28,4.5100e+27,9.3100e+27,2.6900e+27,1.4559e+31,8.4573e+30,140
24,3,0.2000,0.3500,1.7030e+28,1.6640e+28,1.5230e+28,1.5360e+28,8.8744e+30,7.6377e+30,140
24,4,0.3500,0.5500,1.7720e+28,4.7140e+28,1.6040e+28,5.0490e+28,5.2820e+30,4.9002e+30,140
24,5,0.5500,1.0100,1.6120e+28,2.0644e+29,1.6910e+28,2.0664e+29,3.1965e+30,3.1828e+30,140
25,0,0.0000,0.0500,1.5570e+28,1.0000e+25,3.2900e+27,2.0000e+25,1.1173e+32,1.7024e+31,141
25,1,0.0500,0.1000,5.8000e+27,3.3000e+26,3.6600e+27,2.1000e+26,9.2820e+30,7.4460e+30,141
25,2,0.1000,0.2000,1.4820e+28,4.3300e+27,9.3900e+27,2.7200e+27,1.4568e+31,8.5296e+30,141
25,3,0.2000,0.3500,1.7510e+28,1.6290e+28,1.6160e+28,1.6080e+28,8.8001e+30,7.7389e+30,141
25,4,0.3500,0.5500,1.7850e+28,4.8160e+28,1.5840e+28,4.9040e+28,5.2898e+30,4.8774e+30,141
25,5,0.5500,1.0100,1.7050e+28,2.0257e+29,1.6890e+28,2.0651e+29,3.2062e+30,3.1557e+30,141
26,0,0.0000,0.0500,1.5200e+28,0.0000e+00,3.2300e+27,0.0000e+00,1.1077e+32,1.7015e+31,141
26,1,0.0500,0.1000,5.4000e+27,3.5000e+26,3.4400e+27,2.1000e+26,9.1977e+30,7.4612e+30,141
26,2,0.1000,0.2000,1.5200e+28,4.1500e+27,9.1600e+27,2.7400e+27,1.4480e+31,8.5509e+30,141
26,3,0.2000,0.3500,1.7410e+28,1.5100e+28,1.5870e+28,1.6000e+28,8.7881e+30,7.8454e+30,141
26,4,0.3500,0.5500,1.7320e+28,4.6950e+28,1.5950e+28,4.7760e+28,5.1586e+30,4.7806e+30,141
26,5,0.5500,1.0100,1.6130e+28,1.9271e+29,1.6580e+28,1.9462e+29,3.1903e+30,3.0412e+30,141
27,0,0.0000,0.0500,1.5790e+28,1.0000e+25,3.3600e+27,1.0000e+25,1.1061e+32,1.7085e+31,142
27,1,0.0500,0.1000,5.3300e+27,3.8000e+26,3.6800e+27,1.3000e+26,9.1784e+30,7.5167e+30,142
27,2,0.1000,0.2000,1.5160e+28,4.0600e+27,8.8600e+27,2.6700e+27,1.4252e+31,8.6907e+30,142
27,3,0.2000,0.3500,1.7200e+28,1.6080e+28,1.5470e+28,1.4720e+28,8.8728e+30,7.8864e+30,142
27,4,0.3500,0.5500,1.6750e+28,4.7600e+28,1.5510e+28,4.5320e+28,5.1772e+30,4.7134e+30,142
27,5,0.5500,1.0100,1.5520e+28,1.8684e+29,1.5390e+28,1.8756e+29,3.0274e+30,2.9375e+30,142
