TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Gen_PSD_Dawn_Terminator,Gen_TD_Dawn_Terminator,Max_Flux_PSD,Min_Flux_PSD,Max_Flux_TD,Min_Flux_TD,Max_Flux_SWS,Min_Flux_SWS,Max_Flux_MMV,Min_Flux_MMV,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
124,9.2346e+29,6.5407e+29,2.6207e+29,3.4000e+26,6.9800e+27,6.1511e+29,3.8960e+28,2.0913e+29,5.2940e+28,2.5000e+26,9.0000e+25,3.5400e+27,3.4400e+27,2.5237e+29,1.4280e+28,6.7467e+08,1.1358e+06,1.1554e+09,1.1214e-11,2.3507e+06,9.3878e+03,3.7028e+05,3.6794e+05,70.8,28.4,0.0,0.8,9.2288e+29,9.0567e+29,1.0140e+28,7.0700e+27,6.6333e+27,0.0000e+00,98.1,1.1,0.8
125,9.3284e+29,6.6421e+29,2.6113e+29,4.7000e+26,7.0300e+27,6.2467e+29,3.9540e+28,2.0844e+29,5.2690e+28,2.6000e+26,2.1000e+26,3.2900e+27,3.7400e+27,2.4901e+29,1.1470e+28,6.6956e+08,5.8759e+05,8.4429e+08,1.1978e-14,2.3411e+06,6.1650e+03,3.6793e+05,3.6563e+05,71.2,28.0,0.1,0.8,9.3216e+29,9.1474e+29,1.0920e+28,6.5000e+27,6.5146e+27,0.0000e+00,98.1,1.2,0.7
126,9.5026e+29,6.7545e+29,2.6742e+29,3.7000e+26,7.0200e+27,6.3695e+29,3.8500e+28,2.1618e+29,5.1240e+28,2.3000e+26,1.4000e+26,3.7300e+27,3.2900e+27,2.1692e+29,8.3900e+27,6.6264e+08,1.8802e+04,9.5311e+08,1.0016e-20,2.3137e+06,1.3609e+04,3.6562e+05,3.6335e+05,71.1,28.1,0.0,0.7,9.5077e+29,9.3315e+29,1.0970e+28,6.6500e+27,6.4242e+27,0.0000e+00,98.1,1.2,0.7
127,9.6308e+29,6.8829e+29,2.6724e+29,5.0000e+26,7.0500e+27,6.4786e+29,4.0430e+28,2.1255e+29,5.4690e+28,4.0000e+26,1.0000e+26,3.6300e+27,3.4200e+27,2.1863e+29,7.7300e+27,6.5724e+08,1.2463e+02,1.1492e+09,1.0328e-20,3.0977e+06,1.2098e+04,3.6334e+05,3.6111e+05,71.5,27.7,0.1,0.7,9.6263e+29,9.4436e+29,1.1880e+28,6.3900e+27,6.3357e+27,0.0000e+00,98.1,1.2,0.7
128,9.8291e+29,7.0514e+29,2.7022e+29,5.6000e+26,6.9900e+27,6.6501e+29,4.0130e+28,2.1894e+29,5.1280e+28,4.3000e+26,1.3000e+26,3.3800e+27,3.6100e+27,2.2683e+29,9.4300e+27,6.5780e+08,1.5625e+06,8.2664e+08,2.6885e-13,3.0836e+06,1.0874e+04,3.6110e+05,3.5891e+05,71.7,27.5,0.1,0.7,9.8268e+29,9.6504e+29,1.1520e+28,6.1200e+27,6.2254e+27,0.0000e+00,98.2,1.2,0.6
129,1.0209e+30,7.2120e+29,2.9229e+29,5.3000e+26,6.8900e+27,6.7893e+29,4.2270e+28,2.3706e+29,5.5230e+28,3.8000e+26,1.5000e+26,3.6200e+27,3.2700e+27,2.3813e+29,1.2510e+28,6.5717e+08,1.2469e+06,7.9651e+08,3.4268e-10,3.0629e+06,1.0495e+04,3.5890e+05,3.5674e+05,70.6,28.6,0.1,0.7,1.0203e+30,1.0017e+30,1.2120e+28,6.4300e+27,6.1417e+27,0.0000e+00,98.2,1.2,0.6
130,1.0408e+30,7.3546e+29,2.9778e+29,4.7000e+26,7.0500e+27,6.9393e+29,4.1530e+28,2.4479e+29,5.2990e+28,3.2000e+26,1.5000e+26,3.4700e+27,3.5800e+27,2.5461e+29,1.4850e+28,6.5672e+08,7.7995e+05,9.7157e+08,6.6869e-12,3.0172e+06,1.4120e+04,3.5673e+05,3.5462e+05,70.7,28.6,0.0,0.7,1.0402e+30,1.0217e+30,1.1720e+28,6.7100e+27,6.0372e+27,0.0000e+00,98.2,1.1,0.6
131,1.0662e+30,7.5586e+29,3.0276e+29,5.1000e+26,7.0200e+27,7.1416e+29,4.1700e+28,2.5031e+29,5.2450e+28,3.2000e+26,1.9000e+26,3.4800e+27,3.5400e+27,2.4673e+29,1.2100e+28,6.6306e+08,3.5307e+05,7.6252e+08,2.0172e-15,3.0795e+06,1.3303e+04,3.5461e+05,3.5253e+05,70.9,28.4,0.0,0.7,1.0657e+30,1.0473e+30,1.2560e+28,5.8400e+27,5.9583e+27,0.0000e+00,98.3,1.2,0.5
132,1.0792e+30,7.6518e+29,3.0629e+29,6.1000e+26,7.1200e+27,7.2221e+29,4.2970e+28,2.5163e+29,5.4660e+28,4.2000e+26,1.9000e+26,3.3000e+27,3.8200e+27,2.1666e+29,8.2200e+27,6.6854e+08,1.4043e+03,8.1025e+08,1.0003e-20,3.8589e+06,1.2526e+04,3.5252e+05,3.5047e+05,70.9,28.4,0.1,0.7,1.0796e+30,1.0608e+30,1.2780e+28,6.0100e+27,5.8813e+27,0.0000e+00,98.3,1.2,0.6
133,1.1156e+30,7.8918e+29,3.1864e+29,5.9000e+26,7.2000e+27,7.4209e+29,4.7090e+28,2.5984e+29,5.8800e+28,4.1000e+26,1.8000e+26,3.6400e+27,3.5600e+27,2.2291e+29,7.3500e+27,6.7113e+08,1.6128e+06,8.6210e+08,6.3449e-20,3.9342e+06,1.8488e+04,3.5047e+05,3.4846e+05,70.7,28.6,0.1,0.6,1.1155e+30,1.0969e+30,1.2900e+28,5.6700e+27,5.8062e+27,0.0000e+00,98.3,1.2,0.5
