Line_ID,X_Value,Y_Value
0,706.56670,13.20949
0,707.48187,13.10820
0,708.39705,13.06479
0,709.31223,13.05032
0,710.22741,13.06479
0,711.14259,13.09373
0,712.05776,13.13714
0,712.97294,13.16608
0,713.88812,13.16608
0,714.80330,13.12267
0,715.71847,12.99244
0,716.63365,12.86220
0,717.54883,12.67409
0,718.46401,12.58727
0,719.37918,12.52939
0,720.29436,12.44257
0,721.20954,12.42809
0,722.12472,12.51492
0,723.03990,12.99244
0,723.95507,13.06479
0,724.87025,13.06479
0,725.78543,12.89114
0,726.70061,12.77538
0,727.61578,12.49864
0,728.53096,12.23998
0,729.44614,12.12422
0,730.36132,12.10975
0,731.27649,12.12422
0,732.19167,12.13869
0,733.10685,12.18210
0,734.02203,12.22551
0,734.93721,12.28339
0,735.85238,12.32680
0,736.76756,12.37021
0,737.68274,12.35574
0,738.59792,12.31233
0,739.51309,12.21104
0,740.42827,12.09528
0,741.34345,11.99399
0,742.25863,11.93611
0,743.17380,11.86375
0,744.08898,11.80587
0,745.00416,11.71905
0,745.91934,11.61776
0,746.83452,11.45859
0,747.74969,11.29941
0,748.66487,11.15471
0,749.58005,10.99554
0,750.49523,10.98107
0,751.41040,10.98107
0,752.32558,11.01001
0,753.24076,11.02448
0,754.15594,11.01001
0,755.07111,10.95213
0,755.98629,10.90872
0,756.90147,10.83636
0,757.81665,10.79295
0,758.73183,10.76401
0,759.64700,10.72060
0,760.56218,10.66272
0,761.47736,10.54696
0,762.39254,10.44567
0,763.30771,10.32990
0,764.22289,10.19967
0,765.13807,10.08391
0,766.05325,9.93921
0,766.96842,9.89580
0,767.88360,9.88132
0,768.79878,9.91027
0,769.71396,9.93921
0,770.62914,9.95368
0,771.54431,9.96815
0,772.45949,9.86685
0,773.37467,9.59192
0,774.28985,9.34592
0,775.20502,9.12887
0,776.12020,8.98417
0,777.03538,8.82499
0,777.95056,8.69476
0,778.86573,8.59347
0,779.78091,8.50665
0,780.69609,8.49218
0,781.61127,8.52112
0,782.52645,8.52112
0,783.44162,8.50665
0,784.35680,8.11595
0,785.27198,7.94231
0,786.18716,7.86864
0,787.10233,7.78313
0,788.01751,7.69424
0,788.93269,7.72163
0,789.84787,7.68546
0,790.76304,7.34903
0,791.67822,7.32008
0,792.59340,7.32008
0,793.50858,7.26220
0,794.42376,7.11750
0,795.33893,6.94386
0,796.25411,6.79915
0,797.16929,6.66892
0,798.08447,6.61104
0,798.99964,6.61104
0,799.91482,6.61104
0,800.83000,6.63998
0,801.74518,6.62551
0,802.66035,6.59657
0,803.57553,6.56763
0,804.49071,6.53869
0,805.40589,6.53869
0,806.32106,6.55316
0,807.23624,6.55316
0,808.15142,6.55316
0,809.06660,6.40846
0,809.98178,5.97435
0,810.89695,5.70336
0,811.81213,5.48236
0,812.72731,5.46789
