TAA,Side,Band_Index,EffCos_Lo,EffCos_Hi,U_1.400eV,U_1.544eV,U_1.689eV,U_1.833eV,U_1.978eV,U_2.122eV,U_2.267eV,U_2.411eV,U_2.556eV,U_2.700eV
339,Dusk,5,0.5500,1.0100,9.358375e+25,1.085805e+26,1.647134e+26,3.712911e+26,8.778880e+26,6.874330e+27,3.221155e+28,3.517503e+28,1.289110e+28,2.231623e+27
340,Dawn,0,0.0000,0.0500,9.896567e+28,3.104717e+29,5.900038e+29,7.871745e+29,7.490248e+29,4.994857e+29,2.301228e+29,7.476621e+28,1.774788e+28,2.795605e+27
340,Dawn,1,0.0500,0.1000,4.532200e+27,9.207007e+28,2.818270e+29,3.971483e+29,3.822317e+29,2.512787e+29,1.156914e+29,3.732338e+28,9.231971e+27,1.459498e+27
340,Dawn,2,0.1000,0.2000,5.260917e+25,4.083978e+27,2.543469e+29,7.829886e+29,8.268731e+29,5.521473e+29,2.562040e+29,8.233537e+28,1.932802e+28,3.535120e+27
340,Dawn,3,0.2000,0.3500,5.004539e+25,1.194577e+26,3.149213e+27,1.314385e+29,6.582162e+29,6.432982e+29,3.031914e+29,9.777110e+28,2.261924e+28,3.688546e+27
340,Dawn,4,0.3500,0.5500,3.032107e+25,6.076872e+25,1.576223e+26,1.711960e+27,2.633005e+28,2.202143e+29,2.244155e+29,8.139773e+28,1.888694e+28,2.993717e+27
340,Dawn,5,0.5500,1.0100,6.367327e+25,1.087949e+26,2.450809e+26,3.035948e+26,1.107681e+27,7.487421e+27,3.714210e+28,4.414192e+28,1.591583e+28,2.802184e+27
340,Dusk,0,0.0000,0.0500,5.511220e+28,2.028312e+29,4.216131e+29,6.022092e+29,5.905140e+29,4.077533e+29,1.893255e+29,6.102057e+28,1.461108e+28,2.471586e+27
340,Dusk,1,0.0500,0.1000,4.739841e+26,2.668577e+28,1.449607e+29,2.465848e+29,2.557595e+29,1.756063e+29,8.016287e+28,2.583381e+28,5.870411e+27,9.049721e+26
340,Dusk,2,0.1000,0.2000,3.012278e+25,1.754793e+27,9.880225e+28,3.787014e+29,4.687353e+29,3.322791e+29,1.587148e+29,5.087906e+28,1.202469e+28,1.985899e+27
340,Dusk,3,0.2000,0.3500,3.907575e+22,7.400517e+25,1.476754e+27,5.227601e+28,2.936196e+29,3.266760e+29,1.612518e+29,5.278891e+28,1.202687e+28,2.069395e+27
340,Dusk,4,0.3500,0.5500,1.030035e+25,7.071912e+25,1.343338e+26,1.239889e+27,1.803988e+28,1.173342e+29,1.251631e+29,4.569849e+28,1.115412e+28,1.800418e+27
340,Dusk,5,0.5500,1.0100,5.360720e+25,1.486367e+26,2.548096e+26,4.735565e+26,8.931068e+26,6.908155e+27,3.210796e+28,3.548571e+28,1.300030e+28,2.240819e+27
341,Dawn,0,0.0000,0.0500,9.883730e+28,3.108429e+29,5.908497e+29,7.884236e+29,7.498260e+29,4.997643e+29,2.302852e+29,7.477606e+28,1.778688e+28,2.810740e+27
341,Dawn,1,0.0500,0.1000,4.386292e+27,9.145478e+28,2.820931e+29,3.977430e+29,3.823496e+29,2.514397e+29,1.157756e+29,3.732661e+28,9.223388e+27,1.453322e+27
341,Dawn,2,0.1000,0.2000,3.514748e+25,3.953931e+27,2.508700e+29,7.827126e+29,8.279945e+29,5.527181e+29,2.564158e+29,8.250264e+28,1.933591e+28,3.545225e+27
341,Dawn,3,0.2000,0.3500,4.218309e+22,1.419658e+26,3.044738e+27,1.272448e+29,6.532904e+29,6.426173e+29,3.034827e+29,9.785550e+28,2.273417e+28,3.718813e+27
341,Dawn,4,0.3500,0.5500,1.032286e+25,5.077303e+25,1.909174e+26,1.710382e+27,2.635224e+28,2.166715e+29,2.230981e+29,8.130738e+28,1.887588e+28,2.974456e+27
341,Dawn,5,0.5500,1.0100,6.369393e+25,2.188443e+26,2.251657e+26,3.206752e+26,1.068965e+27,7.529259e+27,3.688233e+28,4.398418e+28,1.603858e+28,2.856947e+27
341,Dusk,0,0.0000,0.0500,5.525022e+28,2.031570e+29,4.220833e+29,6.028105e+29,5.908386e+29,4.078409e+29,1.892882e+29,6.102768e+28,1.461901e+28,2.467660e+27
341,Dusk,1,0.0500,0.1000,4.352675e+26,2.664194e+28,1.451593e+29,2.466818e+29,2.556016e+29,1.754068e+29,8.012636e+28,2.578596e+28,5.853700e+27,9.108489e+26
341,Dusk,2,0.1000,0.2000,2.901571e+24,1.867317e+27,9.806055e+28,3.787452e+29,4.689260e+29,3.322551e+29,1.586240e+29,5.091233e+28,1.199168e+28,1.968809e+27
341,Dusk,3,0.2000,0.3500,1.003942e+25,5.967721e+25,1.564635e+27,5.124276e+28,2.925018e+29,3.262786e+29,1.611342e+29,5.272104e+28,1.197100e+28,2.065364e+27
341,Dusk,4,0.3500,0.5500,1.030258e+25,3.072447e+25,9.239531e+25,1.099129e+27,1.815416e+28,1.169382e+29,1.249241e+29,4.574916e+28,1.114656e+28,1.801627e+27
341,Dusk,5,0.5500,1.0100,6.362959e+25,1.386903e+26,2.649015e+26,2.457155e+26,9.244501e+26,6.862305e+27,3.193057e+28,3.596779e+28,1.309383e+28,2.337807e+27
342,Dawn,0,0.0000,0.0500,9.861683e+28,3.112898e+29,5.915577e+29,7.891623e+29,7.507279e+29,5.002469e+29,2.304050e+29,7.488501e+28,1.780565e+28,2.805825e+27
342,Dawn,1,0.0500,0.1000,4.162998e+27,9.074395e+28,2.824854e+29,3.981724e+29,3.827935e+29,2.516717e+29,1.158857e+29,3.738859e+28,9.224509e+27,1.467091e+27
342,Dawn,2,0.1000,0.2000,2.503102e+25,4.018704e+27,2.475938e+29,7.815547e+29,8.290442e+29,5.532662e+29,2.565381e+29,8.252362e+28,1.931250e+28,3.545043e+27
342,Dawn,3,0.2000,0.3500,2.004358e+25,8.563279e+25,2.806349e+27,1.234283e+29,6.477468e+29,6.420486e+29,3.035996e+29,9.776583e+28,2.274540e+28,3.738120e+27
342,Dawn,4,0.3500,0.5500,3.032453e+25,5.077702e+25,2.163864e+26,1.732501e+27,2.654158e+28,2.138358e+29,2.222933e+29,8.101273e+28,1.882043e+28,3.003965e+27
342,Dawn,5,0.5500,1.0100,4.371364e+25,1.188915e+26,3.652466e+26,4.320726e+26,1.101495e+27,7.415108e+27,3.648290e+28,4.393847e+28,1.628817e+28,2.869973e+27
342,Dusk,0,0.0000,0.0500,5.527478e+28,2.033988e+29,4.226958e+29,6.031908e+29,5.911825e+29,4.078810e+29,1.893571e+29,6.104367e+28,1.463665e+28,2.463693e+27
342,Dusk,1,0.0500,0.1000,4.296379e+26,2.658144e+28,1.454854e+29,2.468171e+29,2.555523e+29,1.753194e+29,8.008630e+28,2.573710e+28,5.856685e+27,9.066871e+26
342,Dusk,2,0.1000,0.2000,6.633791e+24,1.757457e+27,9.729832e+28,3.786771e+29,4.689015e+29,3.320350e+29,1.582810e+29,5.090136e+28,1.193803e+28,1.971633e+27
342,Dusk,3,0.2000,0.3500,5.003977e+25,8.420674e+25,1.652436e+27,5.069904e+28,2.911882e+29,3.257962e+29,1.610620e+29,5.287422e+28,1.202352e+28,2.041343e+27
342,Dusk,4,0.3500,0.5500,3.047923e+23,7.072977e+25,1.611761e+26,1.259844e+27,1.781062e+28,1.160777e+29,1.247259e+29,4.578793e+28,1.116613e+28,1.772891e+27
342,Dusk,5,0.5500,1.0100,3.365138e+25,1.987425e+26,3.149910e+26,2.909900e+26,9.479565e+26,6.782673e+27,3.218060e+28,3.590019e+28,1.322078e+28,2.360604e+27
343,Dawn,0,0.0000,0.0500,9.949031e+28,3.184209e+29,6.037474e+29,8.053796e+29,7.682671e+29,5.132519e+29,2.372986e+29,7.688049e+28,1.837075e+28,2.852835e+27
343,Dawn,1,0.0500,0.1000,3.010864e+27,8.376995e+28,2.712888e+29,3.830321e+29,3.660795e+29,2.392148e+29,1.092682e+29,3.542587e+28,8.659818e+27,1.428956e+27
343,Dawn,2,0.1000,0.2000,5.025160e+25,3.766910e+27,2.442068e+29,7.807009e+29,8.297012e+29,5.538484e+29,2.563457e+29,8.258832e+28,1.935025e+28,3.534993e+27
