TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
271,9.4651e+29,4.8688e+29,4.4506e+29,7.6450e+27,6.9170e+27,3.9703e+29,8.9858e+28,3.0731e+29,1.3774e+29,4.8930e+27,2.7520e+27,3.4660e+27,3.4510e+27,51.4,47.0,0.8,0.7,9.4647e+29,9.2225e+29,1.3867e+28,1.0355e+28,2.4600e+28,0.0000e+00,97.4,1.5,1.1
272,9.3477e+29,4.7872e+29,4.4176e+29,7.4030e+27,6.8890e+27,3.9052e+29,8.8196e+28,3.0523e+29,1.3653e+29,4.6980e+27,2.7050e+27,3.3860e+27,3.5030e+27,51.2,47.3,0.8,0.7,9.3499e+29,9.1102e+29,1.3590e+28,1.0377e+28,2.4699e+28,0.0000e+00,97.4,1.5,1.1
273,9.2840e+29,4.7247e+29,4.4196e+29,7.0680e+27,6.9070e+27,3.8603e+29,8.6440e+28,3.0480e+29,1.3715e+29,4.4180e+27,2.6500e+27,3.4410e+27,3.4660e+27,50.9,47.6,0.8,0.7,9.2839e+29,9.0448e+29,1.3640e+28,1.0265e+28,2.4922e+28,0.0000e+00,97.4,1.5,1.1
274,9.1849e+29,4.6603e+29,4.3845e+29,7.0990e+27,6.9100e+27,3.8102e+29,8.5011e+28,3.0229e+29,1.3617e+29,4.3330e+27,2.7660e+27,3.4260e+27,3.4840e+27,50.7,47.7,0.8,0.8,9.1855e+29,8.9480e+29,1.3603e+28,1.0148e+28,2.5146e+28,0.0000e+00,97.4,1.5,1.1
275,9.0299e+29,4.5685e+29,4.3254e+29,6.7030e+27,6.8860e+27,3.7397e+29,8.2885e+28,2.9815e+29,1.3439e+29,4.1970e+27,2.5060e+27,3.4470e+27,3.4390e+27,50.6,47.9,0.7,0.8,9.0329e+29,8.7960e+29,1.3484e+28,1.0206e+28,2.5235e+28,0.0000e+00,97.4,1.5,1.1
276,8.9339e+29,4.5006e+29,4.2991e+29,6.5260e+27,6.9020e+27,3.6764e+29,8.2419e+28,2.9258e+29,1.3733e+29,3.9640e+27,2.5620e+27,3.4460e+27,3.4560e+27,50.4,48.1,0.7,0.8,8.9325e+29,8.6969e+29,1.3266e+28,1.0296e+28,2.5454e+28,0.0000e+00,97.4,1.5,1.2
277,8.8776e+29,4.4514e+29,4.2863e+29,7.0750e+27,6.9190e+27,3.6087e+29,8.4270e+28,2.7984e+29,1.4879e+29,4.6420e+27,2.4330e+27,3.4840e+27,3.4350e+27,50.1,48.3,0.8,0.8,8.8784e+29,8.6391e+29,1.3461e+28,1.0471e+28,2.5673e+28,0.0000e+00,97.3,1.5,1.2
278,8.7571e+29,4.3888e+29,4.2308e+29,6.8820e+27,6.8780e+27,3.5555e+29,8.3329e+28,2.7567e+29,1.4740e+29,4.5420e+27,2.3400e+27,3.4280e+27,3.4500e+27,50.1,48.3,0.8,0.8,8.7565e+29,8.5202e+29,1.3310e+28,1.0320e+28,2.5751e+28,0.0000e+00,97.3,1.5,1.2
279,8.6804e+29,4.3371e+29,4.2094e+29,6.5100e+27,6.8850e+27,3.5145e+29,8.2256e+28,2.7290e+29,1.4804e+29,4.2700e+27,2.2400e+27,3.4420e+27,3.4430e+27,50.0,48.5,0.7,0.8,8.6818e+29,8.4481e+29,1.3152e+28,1.0216e+28,2.5964e+28,0.0000e+00,97.3,1.5,1.2
280,8.5845e+29,4.2911e+29,4.1625e+29,6.1950e+27,6.8920e+27,3.4828e+29,8.0834e+28,2.6945e+29,1.4680e+29,4.0050e+27,2.1900e+27,3.4280e+27,3.4640e+27,50.0,48.5,0.7,0.8,8.5850e+29,8.3528e+29,1.2986e+28,1.0239e+28,2.6176e+28,0.0000e+00,97.3,1.5,1.2
