TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Max_Flux_PSD,Min_Flux_PSD,Max_Flux_TD,Min_Flux_TD,Max_Flux_SWS,Min_Flux_SWS,Max_Flux_MMV,Min_Flux_MMV,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
177,1.1304e+30,2.8500e+29,8.3136e+29,6.9230e+27,7.0910e+27,2.5071e+29,3.4297e+28,6.7160e+29,1.5975e+29,5.0580e+27,1.8650e+27,3.5550e+27,3.5360e+27,1.0700e+08,7.2250e+03,3.9061e+08,1.0214e-20,1.7226e+07,7.8692e+04,3.0176e+05,3.0164e+05,25.2,73.5,0.6,0.6,1.1302e+30,1.1176e+30,1.1617e+28,1.0500e+27,0.0000e+00,0.0000e+00,98.9,1.0,0.1
178,1.1386e+30,2.8521e+29,8.3850e+29,7.8330e+27,7.0650e+27,2.4741e+29,3.7793e+28,6.5050e+29,1.8800e+29,5.8920e+27,1.9410e+27,3.5050e+27,3.5600e+27,1.0678e+08,3.7401e+02,3.9754e+08,1.0032e-20,1.9672e+07,8.2179e+04,3.0164e+05,3.0158e+05,25.0,73.6,0.7,0.6,1.1384e+30,1.1258e+30,1.1384e+28,1.2530e+27,0.0000e+00,0.0000e+00,98.9,1.0,0.1
179,1.1539e+30,2.8771e+29,8.5148e+29,7.6190e+27,7.0760e+27,2.4969e+29,3.8021e+28,6.6772e+29,1.8376e+29,5.6810e+27,1.9380e+27,3.6310e+27,3.4450e+27,1.0604e+08,3.3885e+05,4.0278e+08,1.0014e-20,1.8954e+07,8.3617e+04,3.0158e+05,3.0155e+05,24.9,73.8,0.7,0.6,1.1536e+30,1.1407e+30,1.1676e+28,1.2670e+27,0.0000e+00,0.0000e+00,98.9,1.0,0.1
180,1.1615e+30,2.8761e+29,8.5931e+29,7.5490e+27,7.0670e+27,2.4935e+29,3.8254e+28,6.8165e+29,1.7766e+29,5.5690e+27,1.9800e+27,3.4170e+27,3.6500e+27,1.0500e+08,1.8824e+05,4.0086e+08,1.0055e-20,1.8260e+07,9.0036e+04,3.0158e+05,3.0155e+05,24.8,74.0,0.6,0.6,1.1614e+30,1.1484e+30,1.1833e+28,1.1280e+27,0.0000e+00,0.0000e+00,98.9,1.0,0.1
181,1.1740e+30,2.8947e+29,8.7010e+29,7.3740e+27,7.0740e+27,2.5120e+29,3.8266e+28,6.9701e+29,1.7309e+29,5.2640e+27,2.1100e+27,3.5420e+27,3.5320e+27,1.0611e+08,2.1358e+04,3.9896e+08,1.0070e-20,1.7637e+07,8.9582e+04,3.0164e+05,3.0158e+05,24.7,74.1,0.6,0.6,1.1741e+30,1.1610e+30,1.1896e+28,1.1800e+27,0.0000e+00,0.0000e+00,98.9,1.0,0.1
182,1.1791e+30,2.8925e+29,8.7462e+29,8.1940e+27,7.0620e+27,2.4736e+29,4.1888e+28,6.7494e+29,1.9968e+29,6.0860e+27,2.1080e+27,3.5020e+27,3.5600e+27,1.0562e+08,3.6164e+01,4.0247e+08,1.0002e-20,1.9898e+07,9.0545e+04,3.0176e+05,3.0164e+05,24.5,74.2,0.7,0.6,1.1789e+30,1.1657e+30,1.1984e+28,1.2410e+27,0.0000e+00,0.0000e+00,98.9,1.0,0.1
183,1.1885e+30,2.9083e+29,8.8249e+29,8.1300e+27,7.0870e+27,2.4860e+29,4.2232e+28,6.8443e+29,1.9806e+29,5.8930e+27,2.2370e+27,3.5220e+27,3.5650e+27,1.0488e+08,3.9065e+05,4.1315e+08,1.0012e-20,1.9107e+07,8.6793e+04,3.0192e+05,3.0176e+05,24.5,74.3,0.7,0.6,1.1884e+30,1.1751e+30,1.2078e+28,1.2460e+27,0.0000e+00,0.0000e+00,98.9,1.0,0.1
184,1.1911e+30,2.9111e+29,8.8499e+29,7.9190e+27,7.0800e+27,2.4876e+29,4.2341e+28,6.9584e+29,1.8916e+29,5.7000e+27,2.2190e+27,3.5170e+27,3.5630e+27,1.0485e+08,2.2266e+05,4.1221e+08,1.0004e-20,1.8370e+07,9.2946e+04,3.0212e+05,3.0192e+05,24.4,74.3,0.7,0.6,1.1909e+30,1.1775e+30,1.2230e+28,1.1790e+27,0.0000e+00,0.0000e+00,98.9,1.0,0.1
185,1.1961e+30,2.9107e+29,8.9017e+29,7.7460e+27,7.0820e+27,2.4906e+29,4.2011e+28,7.0779e+29,1.8239e+29,5.4540e+27,2.2920e+27,3.5800e+27,3.5020e+27,1.0477e+08,3.9191e+04,4.1003e+08,1.0021e-20,1.7695e+07,9.4427e+04,3.0237e+05,3.0212e+05,24.3,74.4,0.6,0.6,1.1962e+30,1.1829e+30,1.2065e+28,1.1960e+27,0.0000e+00,0.0000e+00,98.9,1.0,0.1
186,1.1967e+30,2.9020e+29,8.9109e+29,8.3090e+27,7.0680e+27,2.4521e+29,4.4992e+28,6.8498e+29,2.0611e+29,5.9970e+27,2.3120e+27,3.5170e+27,3.5510e+27,1.0581e+08,4.8470e+02,4.0608e+08,1.0015e-20,1.9861e+07,8.5195e+04,3.0266e+05,3.0237e+05,24.3,74.5,0.7,0.6,1.1963e+30,1.1830e+30,1.2042e+28,1.2130e+27,0.0000e+00,0.0000e+00,98.9,1.0,0.1
