TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Max_Flux_PSD,Min_Flux_PSD,Max_Flux_TD,Min_Flux_TD,Max_Flux_SWS,Min_Flux_SWS,Max_Flux_MMV,Min_Flux_MMV,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
312,6.6410e+29,2.5373e+29,4.0095e+29,2.6190e+27,6.7990e+27,2.0035e+29,5.3375e+28,2.2875e+29,1.7220e+29,1.4740e+27,1.1450e+27,3.3550e+27,3.4440e+27,3.6123e+08,3.1357e+06,2.9442e+08,6.5315e-07,3.1914e+07,1.9057e+05,5.9928e+05,5.9667e+05,38.2,60.4,0.4,1.0,6.6392e+29,6.4588e+29,1.2346e+28,5.6930e+27,3.1138e+28,0.0000e+00,97.3,1.9,0.9
313,6.6163e+29,2.5163e+29,4.0061e+29,2.5590e+27,6.8300e+27,1.9838e+29,5.3253e+28,2.2797e+29,1.7264e+29,1.4670e+27,1.0920e+27,3.4560e+27,3.3740e+27,3.6004e+08,3.3000e+06,3.4330e+08,1.0171e-06,3.1009e+07,1.9400e+05,6.0189e+05,5.9930e+05,38.0,60.5,0.4,1.0,6.6182e+29,6.4398e+29,1.2523e+28,5.3150e+27,3.1415e+28,0.0000e+00,97.3,1.9,0.8
314,6.5634e+29,2.4864e+29,3.9827e+29,2.6180e+27,6.8090e+27,1.9523e+29,5.3409e+28,2.2726e+29,1.7101e+29,1.5060e+27,1.1120e+27,3.4490e+27,3.3600e+27,3.5910e+08,2.8678e+06,3.1971e+08,1.5294e-06,3.0003e+07,1.9207e+05,6.0445e+05,6.0190e+05,37.9,60.7,0.4,1.0,6.5643e+29,6.3913e+29,1.2361e+28,4.9360e+27,3.1480e+28,0.0000e+00,97.4,1.9,0.8
315,6.5754e+29,2.4661e+29,4.0164e+29,2.4440e+27,6.8520e+27,1.9340e+29,5.3206e+28,2.2814e+29,1.7349e+29,1.3490e+27,1.0950e+27,3.4190e+27,3.4330e+27,3.5715e+08,3.1207e+06,3.0426e+08,2.2269e-06,2.9273e+07,1.8948e+05,6.0698e+05,6.0446e+05,37.5,61.1,0.4,1.0,6.5732e+29,6.3992e+29,1.2602e+28,4.8010e+27,3.1749e+28,0.0000e+00,97.4,1.9,0.7
316,6.5381e+29,2.4283e+29,4.0172e+29,2.4230e+27,6.8310e+27,1.8985e+29,5.2989e+28,2.2619e+29,1.7553e+29,1.3590e+27,1.0640e+27,3.3500e+27,3.4810e+27,3.5527e+08,3.2378e+06,3.2680e+08,2.8642e-06,2.8565e+07,1.8288e+05,6.0947e+05,6.0700e+05,37.1,61.4,0.4,1.0,6.5378e+29,6.3665e+29,1.2663e+28,4.4660e+27,3.1804e+28,0.0000e+00,97.4,1.9,0.7
317,6.5135e+29,2.4016e+29,4.0183e+29,2.5500e+27,6.8040e+27,1.8710e+29,5.3068e+28,2.2548e+29,1.7635e+29,1.4340e+27,1.1160e+27,3.3500e+27,3.4540e+27,3.5387e+08,3.1993e+06,3.0779e+08,2.3659e-06,2.7751e+07,1.7150e+05,6.1191e+05,6.0949e+05,36.9,61.7,0.4,1.0,6.5129e+29,6.3442e+29,1.2614e+28,4.2560e+27,3.1851e+28,0.0000e+00,97.4,1.9,0.7
318,6.5019e+29,2.3841e+29,4.0247e+29,2.4750e+27,6.8380e+27,1.8535e+29,5.3065e+28,2.2496e+29,1.7751e+29,1.3600e+27,1.1150e+27,3.3660e+27,3.4720e+27,3.5219e+08,3.0176e+06,3.0506e+08,1.9608e-06,2.7119e+07,1.8032e+05,6.1432e+05,6.1192e+05,36.7,61.9,0.4,1.1,6.5050e+29,6.3370e+29,1.2726e+28,4.0730e+27,3.2106e+28,0.0000e+00,97.4,2.0,0.6
319,6.4208e+29,2.3404e+29,3.9882e+29,2.4590e+27,6.7610e+27,1.8136e+29,5.2674e+28,2.2201e+29,1.7681e+29,1.3130e+27,1.1460e+27,3.4240e+27,3.3370e+27,3.5026e+08,3.0437e+06,3.1963e+08,1.6532e-06,2.6728e+07,1.6803e+05,6.1666e+05,6.1433e+05,36.5,62.1,0.4,1.1,6.4204e+29,6.2604e+29,1.2434e+28,3.5640e+27,3.1923e+28,0.0000e+00,97.5,1.9,0.6
320,6.4517e+29,2.3360e+29,4.0234e+29,2.3910e+27,6.8410e+27,1.8050e+29,5.3094e+28,2.2534e+29,1.7700e+29,1.3010e+27,1.0900e+27,3.3950e+27,3.4460e+27,3.4802e+08,2.9996e+06,3.2242e+08,1.4036e-06,2.5960e+07,1.7450e+05,6.1898e+05,6.1667e+05,36.2,62.4,0.4,1.1,6.4510e+29,6.2889e+29,1.2862e+28,3.3490e+27,3.2386e+28,0.0000e+00,97.5,2.0,0.5
321,6.4572e+29,2.3017e+29,4.0629e+29,2.4340e+27,6.8250e+27,1.7752e+29,5.2646e+28,2.2624e+29,1.8006e+29,1.3570e+27,1.0770e+27,3.4140e+27,3.4110e+27,3.4587e+08,2.8880e+06,3.5975e+08,1.2164e-06,2.5193e+07,1.7585e+05,6.2125e+05,6.1899e+05,35.6,62.9,0.4,1.1,6.4551e+29,6.2950e+29,1.2951e+28,3.0520e+27,3.2408e+28,0.0000e+00,97.5,2.0,0.5
