TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
232,4.7313e+29,2.0313e+29,2.5874e+29,4.2460e+27,7.0170e+27,1.7704e+29,2.6082e+28,2.3118e+29,2.7560e+28,2.7930e+27,1.4530e+27,3.5220e+27,3.4950e+27,42.9,54.7,0.9,1.5,4.7331e+29,4.6563e+29,5.2080e+27,2.4700e+27,0.0000e+00,0.0000e+00,98.4,1.1,0.5
233,4.6338e+29,2.0051e+29,2.5127e+29,4.5920e+27,7.0140e+27,1.7402e+29,2.6483e+28,2.2230e+29,2.8968e+28,3.1830e+27,1.4090e+27,3.5140e+27,3.5000e+27,43.3,54.2,1.0,1.5,4.6351e+29,4.5573e+29,5.1000e+27,2.6800e+27,0.0000e+00,0.0000e+00,98.3,1.1,0.6
234,4.5791e+29,1.9792e+29,2.4846e+29,4.5350e+27,7.0060e+27,1.7180e+29,2.6117e+28,2.1891e+29,2.9546e+28,3.1600e+27,1.3750e+27,3.4470e+27,3.5590e+27,43.2,54.3,1.0,1.5,4.5772e+29,4.4982e+29,5.1860e+27,2.7190e+27,0.0000e+00,0.0000e+00,98.3,1.1,0.6
235,4.4580e+29,1.9548e+29,2.3897e+29,4.3560e+27,6.9920e+27,1.7041e+29,2.5075e+28,2.1255e+29,2.6419e+28,2.9960e+27,1.3600e+27,3.5750e+27,3.4170e+27,43.8,53.6,1.0,1.6,4.4613e+29,4.3814e+29,5.2140e+27,2.7710e+27,0.0000e+00,0.0000e+00,98.2,1.2,0.6
236,4.3938e+29,1.9373e+29,2.3455e+29,4.0970e+27,7.0040e+27,1.6951e+29,2.4216e+28,2.0873e+29,2.5825e+28,2.8080e+27,1.2890e+27,3.5010e+27,3.5030e+27,44.1,53.4,0.9,1.6,4.3921e+29,4.3160e+29,4.9700e+27,2.6430e+27,0.0000e+00,0.0000e+00,98.3,1.1,0.6
237,4.3056e+29,1.9136e+29,2.2839e+29,3.8100e+27,6.9940e+27,1.6806e+29,2.3300e+28,2.0475e+29,2.3646e+28,2.6330e+27,1.1770e+27,3.5090e+27,3.4850e+27,44.4,53.0,0.9,1.6,4.3091e+29,4.2327e+29,4.8670e+27,2.7810e+27,0.0000e+00,0.0000e+00,98.2,1.1,0.6
238,4.2364e+29,1.8913e+29,2.2375e+29,3.7470e+27,7.0060e+27,1.6666e+29,2.2475e+28,2.0092e+29,2.2831e+28,2.5680e+27,1.1790e+27,3.4970e+27,3.5090e+27,44.6,52.8,0.9,1.7,4.2376e+29,4.1609e+29,4.9270e+27,2.7450e+27,0.0000e+00,0.0000e+00,98.2,1.2,0.6
239,4.1403e+29,1.8533e+29,2.1790e+29,3.8370e+27,6.9620e+27,1.6291e+29,2.2422e+28,1.9453e+29,2.3364e+28,2.6390e+27,1.1980e+27,3.4790e+27,3.4830e+27,44.8,52.6,0.9,1.7,4.1402e+29,4.0643e+29,4.8480e+27,2.7430e+27,0.0000e+00,0.0000e+00,98.2,1.2,0.7
240,4.0683e+29,1.8398e+29,2.1205e+29,3.8020e+27,6.9890e+27,1.6157e+29,2.2410e+28,1.8683e+29,2.5221e+28,2.6620e+27,1.1400e+27,3.4860e+27,3.5030e+27,45.2,52.1,0.9,1.7,4.0713e+29,3.9955e+29,4.7140e+27,2.8600e+27,0.0000e+00,0.0000e+00,98.1,1.2,0.7
241,3.9886e+29,1.8176e+29,2.0639e+29,3.7040e+27,7.0030e+27,1.6031e+29,2.1449e+28,1.8265e+29,2.3735e+28,2.5720e+27,1.1320e+27,3.4700e+27,3.5330e+27,45.6,51.7,0.9,1.8,3.9873e+29,3.9111e+29,4.6480e+27,2.9690e+27,0.0000e+00,0.0000e+00,98.1,1.2,0.7
242,3.8794e+29,1.7860e+29,1.9881e+29,3.5620e+27,6.9650e+27,1.5791e+29,2.0691e+28,1.7651e+29,2.2300e+28,2.4270e+27,1.1350e+27,3.4940e+27,3.4710e+27,46.0,51.2,0.9,1.8,3.8821e+29,3.8064e+29,4.6350e+27,2.9330e+27,0.0000e+00,0.0000e+00,98.1,1.2,0.8
243,3.7997e+29,1.7668e+29,1.9297e+29,3.3230e+27,6.9950e+27,1.5665e+29,2.0036e+28,1.7179e+29,2.1183e+28,2.2770e+27,1.0460e+27,3.5860e+27,3.4090e+27,46.5,50.8,0.9,1.8,3.7992e+29,3.7255e+29,4.5390e+27,2.8340e+27,0.0000e+00,0.0000e+00,98.1,1.2,0.7
244,3.7319e+29,1.7405e+29,1.8901e+29,3.1470e+27,6.9760e+27,1.5470e+29,1.9356e+28,1.6894e+29,2.0075e+28,2.1670e+27,9.8000e+26,3.4360e+27,3.5400e+27,46.6,50.6,0.8,1.9,3.7316e+29,3.6588e+29,4.3740e+27,2.9110e+27,0.0000e+00,0.0000e+00,98.0,1.2,0.8
245,3.6668e+29,1.7199e+29,1.8475e+29,2.9600e+27,6.9850e+27,1.5365e+29,1.8339e+28,1.6610e+29,1.8654e+28,1.9690e+27,9.9100e+26,3.4470e+27,3.5380e+27,46.9,50.4,0.8,1.9,3.6690e+29,3.5960e+29,4.3890e+27,2.9110e+27,0.0000e+00,0.0000e+00,98.0,1.2,0.8
246,3.5868e+29,1.6926e+29,1.7932e+29,3.1030e+27,6.9890e+27,1.5064e+29,1.8623e+28,1.5997e+29,1.9353e+28,2.1280e+27,9.7500e+26,3.5650e+27,3.4240e+27,47.2,50.0,0.9,1.9,3.5890e+29,3.5166e+29,4.2500e+27,2.9920e+27,0.0000e+00,0.0000e+00,98.0,1.2,0.8
247,3.5059e+29,1.6716e+29,1.7324e+29,3.2210e+27,6.9700e+27,1.4854e+29,1.8628e+28,1.5453e+29,1.8706e+28,2.2470e+27,9.7400e+26,3.4640e+27,3.5060e+27,47.7,49.4,0.9,2.0,3.5045e+29,3.4312e+29,4.1970e+27,3.1340e+27,0.0000e+00,0.0000e+00,97.9,1.2,0.9
248,3.4472e+29,1.6460e+29,1.7016e+29,3.0120e+27,6.9540e+27,1.4673e+29,1.7867e+28,1.5126e+29,1.8896e+28,2.1200e+27,8.9200e+26,3.5270e+27,3.4270e+27,47.7,49.4,0.9,2.0,3.4500e+29,3.3764e+29,4.2660e+27,3.0940e+27,0.0000e+00,0.0000e+00,97.9,1.2,0.9
249,3.3899e+29,1.6265e+29,1.6643e+29,2.9080e+27,7.0010e+27,1.4539e+29,1.7260e+28,1.4782e+29,1.8614e+28,2.0380e+27,8.7000e+26,3.5510e+27,3.4500e+27,48.0,49.1,0.9,2.1,3.3900e+29,3.3175e+29,4.1680e+27,3.0850e+27,0.0000e+00,0.0000e+00,97.9,1.2,0.9
250,3.3158e+29,1.6037e+29,1.6153e+29,2.7110e+27,6.9670e+27,1.4374e+29,1.6635e+28,1.4402e+29,1.7506e+28,1.8660e+27,8.4500e+26,3.4420e+27,3.5250e+27,48.4,48.7,0.8,2.1,3.3159e+29,3.2444e+29,4.0450e+27,3.1070e+27,0.0000e+00,0.0000e+00,97.8,1.2,0.9
251,3.2623e+29,1.5869e+29,1.5788e+29,2.6690e+27,6.9850e+27,1.4250e+29,1.6198e+28,1.4146e+29,1.6423e+28,1.8670e+27,8.0200e+26,3.4930e+27,3.4920e+27,48.6,48.4,0.8,2.1,3.2628e+29,3.1922e+29,4.0280e+27,3.0240e+27,0.0000e+00,0.0000e+00,97.8,1.2,0.9
252,3.1889e+29,1.5564e+29,1.5384e+29,2.4680e+27,6.9320e+27,1.3996e+29,1.5685e+28,1.3774e+29,1.6105e+28,1.6520e+27,8.1600e+26,3.4570e+27,3.4750e+27,48.8,48.2,0.8,2.2,3.1907e+29,3.1194e+29,3.9570e+27,3.1750e+27,0.0000e+00,0.0000e+00,97.8,1.2,1.0
253,3.1292e+29,1.5391e+29,1.4968e+29,2.3520e+27,6.9840e+27,1.3893e+29,1.4975e+28,1.3417e+29,1.5507e+28,1.5830e+27,7.6900e+26,3.5000e+27,3.4840e+27,49.2,47.8,0.8,2.2,3.1296e+29,3.0595e+29,3.8560e+27,3.1600e+27,0.0000e+00,0.0000e+00,97.8,1.2,1.0
254,3.0445e+29,1.5056e+29,1.4448e+29,2.4680e+27,6.9450e+27,1.3579e+29,1.4769e+28,1.2950e+29,1.4981e+28,1.7080e+27,7.6000e+26,3.4280e+27,3.5170e+27,49.5,47.5,0.8,2.3,3.0444e+29,2.9742e+29,3.8300e+27,3.1970e+27,0.0000e+00,0.0000e+00,97.7,1.3,1.1
255,2.9950e+29,1.4871e+29,1.4124e+29,2.5980e+27,6.9470e+27,1.3381e+29,1.4897e+28,1.2451e+29,1.6733e+28,1.8280e+27,7.7000e+26,3.5940e+27,3.3530e+27,49.7,47.2,0.9,2.3,2.9971e+29,2.9249e+29,3.8020e+27,3.4140e+27,0.0000e+00,0.0000e+00,97.6,1.3,1.1
256,2.9159e+29,1.4642e+29,1.3589e+29,2.3460e+27,6.9340e+27,1.3209e+29,1.4325e+28,1.2019e+29,1.5701e+28,1.6790e+27,6.6700e+26,3.4650e+27,3.4690e+27,50.2,46.6,0.8,2.4,2.9162e+29,2.8468e+29,3.6500e+27,3.2890e+27,0.0000e+00,0.0000e+00,97.6,1.3,1.1
