TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Gen_PSD_Dawn_Terminator,Gen_TD_Dawn_Terminator,Max_Flux_PSD,Min_Flux_PSD,Max_Flux_TD,Min_Flux_TD,Max_Flux_SWS,Min_Flux_SWS,Max_Flux_MMV,Min_Flux_MMV,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
295,1.4990e+30,1.3196e+29,1.3537e+30,6.4400e+27,6.9000e+27,7.7530e+28,5.4430e+28,8.2899e+29,5.2471e+29,3.3700e+27,3.0700e+27,3.4400e+27,3.4600e+27,7.5400e+27,3.5300e+27,6.0759e+07,3.0052e+04,2.2684e+09,1.0624e-20,2.0115e+07,7.1619e+05,5.5023e+05,5.4715e+05,8.8,90.3,0.4,0.5,1.4983e+30,1.4675e+30,2.9800e+28,9.9000e+26,1.6475e+28,0.0000e+00,97.9,2.0,0.1
296,1.4929e+30,1.2965e+29,1.3496e+30,6.8200e+27,6.8500e+27,7.4900e+28,5.4750e+28,7.6800e+29,5.8160e+29,3.7500e+27,3.0700e+27,3.4200e+27,3.4300e+27,7.6900e+27,3.5400e+27,6.0986e+07,5.1492e+01,1.9622e+09,1.0086e-20,2.3539e+07,6.6750e+05,5.5332e+05,5.5025e+05,8.7,90.4,0.5,0.5,1.4932e+30,1.4624e+30,2.9960e+28,8.4000e+26,1.6677e+28,0.0000e+00,97.9,2.0,0.1
297,1.4898e+30,1.2847e+29,1.3481e+30,6.3600e+27,6.8800e+27,7.3980e+28,5.4490e+28,7.6136e+29,5.8674e+29,3.4400e+27,2.9200e+27,3.7200e+27,3.1600e+27,7.6000e+27,3.7800e+27,6.1233e+07,2.9900e+05,1.8404e+09,1.6311e-18,2.3509e+07,6.3181e+05,5.5638e+05,5.5334e+05,8.6,90.5,0.4,0.5,1.4892e+30,1.4576e+30,3.0740e+28,8.2000e+26,1.6878e+28,0.0000e+00,97.9,2.1,0.1
298,1.4802e+30,1.2675e+29,1.3402e+30,6.4400e+27,6.8100e+27,7.3280e+28,5.3470e+28,7.5479e+29,5.8541e+29,3.3800e+27,3.0600e+27,3.4200e+27,3.3900e+27,7.5400e+27,3.3100e+27,6.1734e+07,6.3787e+05,2.1057e+09,2.5033e-15,2.3446e+07,6.5745e+05,5.5942e+05,5.5640e+05,8.6,90.5,0.4,0.5,1.4796e+30,1.4490e+30,2.9610e+28,9.8000e+26,1.7075e+28,0.0000e+00,97.9,2.0,0.1
299,1.4921e+30,1.2659e+29,1.3524e+30,6.2500e+27,6.8600e+27,7.2920e+28,5.3670e+28,7.6774e+29,5.8465e+29,3.3800e+27,2.8700e+27,3.3800e+27,3.4800e+27,7.6500e+27,3.6000e+27,6.2053e+07,9.6955e+05,2.1953e+09,1.5727e-13,2.3488e+07,6.1775e+05,5.6244e+05,5.5944e+05,8.5,90.6,0.4,0.5,1.4922e+30,1.4611e+30,3.0100e+28,1.0300e+27,1.7271e+28,0.0000e+00,97.9,2.0,0.1
300,1.4612e+30,1.2526e+29,1.3227e+30,6.4700e+27,6.7200e+27,7.2810e+28,5.2450e+28,7.5491e+29,5.6780e+29,3.6900e+27,2.7800e+27,3.2400e+27,3.4800e+27,8.0800e+27,3.4300e+27,6.2524e+07,1.2917e+06,1.9868e+09,2.7781e-12,2.3585e+07,5.9672e+05,5.6544e+05,5.6246e+05,8.6,90.5,0.4,0.5,1.4613e+30,1.4299e+30,3.0530e+28,8.1000e+26,1.7463e+28,0.0000e+00,97.9,2.1,0.1
301,1.4737e+30,1.2512e+29,1.3351e+30,6.4700e+27,6.9800e+27,7.1920e+28,5.3200e+28,7.4941e+29,5.8568e+29,3.7800e+27,2.6900e+27,3.4700e+27,3.5100e+27,7.8900e+27,3.7500e+27,6.2955e+07,1.6039e+06,2.3082e+09,2.4628e-11,2.3467e+07,6.0174e+05,5.6843e+05,5.6546e+05,8.5,90.6,0.4,0.5,1.4727e+30,1.4412e+30,3.0500e+28,1.0000e+27,1.7764e+28,0.0000e+00,97.9,2.1,0.1
302,1.4826e+30,1.2333e+29,1.3464e+30,6.1200e+27,6.8400e+27,7.2540e+28,5.0790e+28,7.5811e+29,5.8824e+29,3.5000e+27,2.6200e+27,3.3500e+27,3.4900e+27,7.7600e+27,3.8500e+27,6.3130e+07,1.9074e+06,1.9744e+09,1.4270e-10,2.3315e+07,5.8765e+05,5.7137e+05,5.6845e+05,8.3,90.8,0.4,0.5,1.4840e+30,1.4533e+30,2.9770e+28,9.0000e+26,1.7842e+28,0.0000e+00,97.9,2.0,0.1
303,1.4824e+30,1.2511e+29,1.3443e+30,6.3000e+27,6.7100e+27,7.3120e+28,5.1990e+28,7.7517e+29,5.6911e+29,3.6500e+27,2.6500e+27,3.3800e+27,3.3300e+27,8.4100e+27,3.9100e+27,6.3642e+07,2.2008e+06,1.9351e+09,6.0551e-10,2.3333e+07,5.6383e+05,5.7430e+05,5.7139e+05,8.4,90.7,0.4,0.5,1.4812e+30,1.4494e+30,3.0880e+28,9.1000e+26,1.8139e+28,0.0000e+00,97.9,2.1,0.1
304,1.4653e+30,1.2276e+29,1.3300e+30,5.8000e+27,6.7800e+27,7.1020e+28,5.1740e+28,7.6754e+29,5.6243e+29,3.1700e+27,2.6300e+27,3.2100e+27,3.5700e+27,8.1400e+27,4.1600e+27,6.3749e+07,2.4883e+06,2.3443e+09,2.0778e-09,2.3397e+07,5.8245e+05,5.7721e+05,5.7432e+05,8.4,90.8,0.4,0.5,1.4651e+30,1.4336e+30,3.0770e+28,7.8000e+26,1.8322e+28,0.0000e+00,97.8,2.1,0.1
