TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Gen_PSD_Dawn_Terminator,Gen_TD_Dawn_Terminator,Max_Flux_PSD,Min_Flux_PSD,Max_Flux_TD,Min_Flux_TD,Max_Flux_SWS,Min_Flux_SWS,Max_Flux_MMV,Min_Flux_MMV,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
232,5.5080e+29,5.1693e+29,0.0000e+00,2.6900e+28,6.9700e+27,2.0560e+29,3.1133e+29,0.0000e+00,0.0000e+00,1.0550e+28,1.6350e+28,3.2900e+27,3.6800e+27,1.2150e+28,0.0000e+00,1.1135e+08,2.2411e+05,0.0000e+00,0.0000e+00,3.8359e+07,4.8007e+06,3.6334e+05,3.6112e+05,93.9,0.0,4.9,1.3,5.5092e+29,5.3438e+29,8.0700e+27,8.4700e+27,6.3114e+27,0.0000e+00,97.0,1.5,1.5
233,5.4746e+29,5.1512e+29,0.0000e+00,2.5260e+28,7.0800e+27,1.9393e+29,3.2119e+29,0.0000e+00,0.0000e+00,1.0620e+28,1.4640e+28,3.5500e+27,3.5300e+27,1.1490e+28,0.0000e+00,1.1125e+08,2.3075e+03,0.0000e+00,0.0000e+00,3.8247e+07,4.8087e+06,3.6562e+05,3.6335e+05,94.1,0.0,4.6,1.3,5.4764e+29,5.3213e+29,7.8700e+27,7.6400e+27,6.4241e+27,0.0000e+00,97.2,1.4,1.4
234,5.4372e+29,5.1210e+29,0.0000e+00,2.4670e+28,6.9500e+27,1.9459e+29,3.1751e+29,0.0000e+00,0.0000e+00,1.0120e+28,1.4550e+28,3.4200e+27,3.5300e+27,1.2090e+28,0.0000e+00,1.1068e+08,1.2064e+06,0.0000e+00,0.0000e+00,3.7170e+07,4.8053e+06,3.6793e+05,3.6563e+05,94.2,0.0,4.5,1.3,5.4337e+29,5.2823e+29,7.9100e+27,7.2300e+27,6.5145e+27,0.0000e+00,97.2,1.5,1.3
235,5.4100e+29,5.0853e+29,0.0000e+00,2.5410e+28,7.0600e+27,1.9648e+29,3.1205e+29,0.0000e+00,0.0000e+00,1.0920e+28,1.4490e+28,3.6100e+27,3.4500e+27,1.2320e+28,0.0000e+00,1.1034e+08,2.7109e+06,0.0000e+00,0.0000e+00,3.7172e+07,4.8039e+06,3.7028e+05,3.6794e+05,94.0,0.0,4.7,1.3,5.4100e+29,5.2526e+29,7.8400e+27,7.9000e+27,6.6332e+27,0.0000e+00,97.1,1.4,1.5
236,5.3020e+29,4.9886e+29,0.0000e+00,2.4320e+28,7.0200e+27,1.9530e+29,3.0356e+29,0.0000e+00,0.0000e+00,1.0000e+28,1.4320e+28,3.6200e+27,3.4000e+27,1.2800e+28,0.0000e+00,1.0988e+08,2.8966e+06,0.0000e+00,0.0000e+00,3.7259e+07,4.8196e+06,3.7267e+05,3.7029e+05,94.1,0.0,4.6,1.3,5.3028e+29,5.1449e+29,7.8000e+27,7.9900e+27,6.7285e+27,0.0000e+00,97.0,1.5,1.5
237,5.3374e+29,5.0197e+29,0.0000e+00,2.4860e+28,6.9100e+27,2.0230e+29,2.9967e+29,0.0000e+00,0.0000e+00,1.0050e+28,1.4810e+28,3.4600e+27,3.4500e+27,1.4250e+28,0.0000e+00,1.0955e+08,1.7567e+06,0.0000e+00,0.0000e+00,3.7428e+07,4.8663e+06,3.7508e+05,3.7268e+05,94.0,0.0,4.7,1.3,5.3363e+29,5.1709e+29,8.3400e+27,8.2000e+27,6.8256e+27,0.0000e+00,96.9,1.6,1.5
238,5.3264e+29,5.0027e+29,0.0000e+00,2.5350e+28,7.0200e+27,2.0507e+29,2.9520e+29,0.0000e+00,0.0000e+00,1.0850e+28,1.4500e+28,3.3100e+27,3.7100e+27,1.3350e+28,0.0000e+00,1.0902e+08,6.0862e+05,0.0000e+00,0.0000e+00,3.7459e+07,4.8680e+06,3.7753e+05,3.7509e+05,93.9,0.0,4.8,1.3,5.3280e+29,5.1678e+29,7.9500e+27,8.0700e+27,6.9245e+27,0.0000e+00,97.0,1.5,1.5
239,5.2739e+29,4.9499e+29,0.0000e+00,2.5360e+28,7.0400e+27,1.9722e+29,2.9777e+29,0.0000e+00,0.0000e+00,1.0860e+28,1.4500e+28,3.4700e+27,3.5700e+27,1.2340e+28,0.0000e+00,1.0847e+08,2.3439e+03,0.0000e+00,0.0000e+00,3.7453e+07,4.8660e+06,3.8002e+05,3.7754e+05,93.9,0.0,4.8,1.3,5.2749e+29,5.1142e+29,8.1100e+27,7.9600e+27,7.0540e+27,0.0000e+00,97.0,1.5,1.5
240,5.2419e+29,4.9359e+29,0.0000e+00,2.3630e+28,6.9700e+27,1.9390e+29,2.9969e+29,0.0000e+00,0.0000e+00,1.0240e+28,1.3390e+28,3.5100e+27,3.4600e+27,1.2640e+28,0.0000e+00,1.0813e+08,7.3566e+05,0.0000e+00,0.0000e+00,3.6322e+07,4.9131e+06,3.8254e+05,3.8003e+05,94.2,0.0,4.5,1.3,5.2358e+29,5.0791e+29,7.6100e+27,8.0600e+27,7.1577e+27,0.0000e+00,97.0,1.5,1.5
241,5.2044e+29,4.8909e+29,0.0000e+00,2.4360e+28,6.9900e+27,1.9573e+29,2.9336e+29,0.0000e+00,0.0000e+00,1.0570e+28,1.3790e+28,3.5000e+27,3.4900e+27,1.3550e+28,0.0000e+00,1.0808e+08,2.2627e+06,0.0000e+00,0.0000e+00,3.6395e+07,4.9513e+06,3.8508e+05,3.8255e+05,94.0,0.0,4.7,1.3,5.2129e+29,5.0570e+29,8.0800e+27,7.5100e+27,7.2632e+27,0.0000e+00,97.0,1.6,1.4
242,5.1674e+29,4.8594e+29,0.0000e+00,2.3800e+28,7.0000e+27,1.9556e+29,2.9038e+29,0.0000e+00,0.0000e+00,1.0340e+28,1.3460e+28,3.3900e+27,3.6100e+27,1.3990e+28,0.0000e+00,1.0793e+08,3.7867e+06,0.0000e+00,0.0000e+00,3.6445e+07,4.9702e+06,3.8767e+05,3.8509e+05,94.0,0.0,4.6,1.4,5.1616e+29,5.0071e+29,7.8400e+27,7.6100e+27,7.4012e+27,0.0000e+00,97.0,1.5,1.5
243,5.1650e+29,4.8611e+29,0.0000e+00,2.3450e+28,6.9400e+27,1.9923e+29,2.8688e+29,0.0000e+00,0.0000e+00,9.7700e+27,1.3680e+28,3.2700e+27,3.6700e+27,1.4820e+28,0.0000e+00,1.0778e+08,3.0782e+06,0.0000e+00,0.0000e+00,3.6465e+07,5.0232e+06,3.9029e+05,3.8768e+05,94.1,0.0,4.5,1.3,5.1700e+29,5.0057e+29,8.0800e+27,8.3500e+27,7.5113e+27,0.0000e+00,96.8,1.6,1.6
244,5.0967e+29,4.7887e+29,0.0000e+00,2.3810e+28,6.9900e+27,2.0161e+29,2.7726e+29,0.0000e+00,0.0000e+00,1.0280e+28,1.3530e+28,3.3900e+27,3.6000e+27,1.4550e+28,0.0000e+00,1.0784e+08,1.8897e+06,0.0000e+00,0.0000e+00,3.6598e+07,5.0283e+06,3.9293e+05,3.9030e+05,94.0,0.0,4.7,1.4,5.0913e+29,4.9255e+29,8.1500e+27,8.4300e+27,7.6230e+27,0.0000e+00,96.7,1.6,1.7
245,5.0902e+29,4.7839e+29,0.0000e+00,2.3680e+28,6.9500e+27,2.0405e+29,2.7434e+29,0.0000e+00,0.0000e+00,1.0120e+28,1.3560e+28,3.4700e+27,3.4800e+27,1.4240e+28,0.0000e+00,1.0773e+08,6.8915e+05,0.0000e+00,0.0000e+00,3.6740e+07,4.9849e+06,3.9560e+05,3.9294e+05,94.0,0.0,4.7,1.4,5.0939e+29,4.9330e+29,8.0100e+27,8.0800e+27,7.7363e+27,0.0000e+00,96.8,1.6,1.6
