TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
187,2.8288e+30,1.2206e+30,1.5660e+30,3.5134e+28,7.0640e+27,9.2524e+29,2.9535e+29,1.1124e+30,4.5360e+29,2.4143e+28,1.0991e+28,3.5260e+27,3.5380e+27,43.1,55.4,1.2,0.2,2.8283e+30,2.7903e+30,3.2907e+28,5.0550e+27,1.4830e+28,0.0000e+00,98.7,1.2,0.2
188,2.8382e+30,1.2222e+30,1.5746e+30,3.4371e+28,7.0860e+27,9.3057e+29,2.9159e+29,1.1326e+30,4.4200e+29,2.3448e+28,1.0923e+28,3.5080e+27,3.5780e+27,43.1,55.5,1.2,0.2,2.8384e+30,2.8003e+30,3.3089e+28,5.0210e+27,1.4870e+28,0.0000e+00,98.7,1.2,0.2
189,2.8470e+30,1.2238e+30,1.5825e+30,3.3584e+28,7.0690e+27,9.3550e+29,2.8831e+29,1.1525e+30,4.3000e+29,2.2824e+28,1.0760e+28,3.5600e+27,3.5090e+27,43.0,55.6,1.2,0.2,2.8471e+30,2.8092e+30,3.2957e+28,4.9650e+27,1.4916e+28,0.0000e+00,98.7,1.2,0.2
190,2.8339e+30,1.2156e+30,1.5762e+30,3.5120e+28,7.0570e+27,9.0914e+29,3.0642e+29,1.1103e+30,4.6590e+29,2.3722e+28,1.1398e+28,3.4780e+27,3.5790e+27,42.9,55.6,1.2,0.2,2.8337e+30,2.7957e+30,3.2958e+28,5.0270e+27,1.4870e+28,0.0000e+00,98.7,1.2,0.2
191,2.8461e+30,1.2196e+30,1.5836e+30,3.5735e+28,7.0710e+27,9.0494e+29,3.1467e+29,1.1044e+30,4.7921e+29,2.4315e+28,1.1420e+28,3.4950e+27,3.5760e+27,42.9,55.6,1.3,0.2,2.8456e+30,2.8073e+30,3.3188e+28,5.1520e+27,1.4973e+28,0.0000e+00,98.7,1.2,0.2
192,2.8445e+30,1.2168e+30,1.5858e+30,3.4893e+28,7.0790e+27,9.0789e+29,3.0886e+29,1.1212e+30,4.6462e+29,2.3514e+28,1.1379e+28,3.5110e+27,3.5680e+27,42.8,55.7,1.2,0.2,2.8450e+30,2.8072e+30,3.2872e+28,4.9260e+27,1.4985e+28,0.0000e+00,98.7,1.2,0.2
193,2.8389e+30,1.2124e+30,1.5855e+30,3.3961e+28,7.0670e+27,9.0880e+29,3.0358e+29,1.1362e+30,4.4930e+29,2.2488e+28,1.1473e+28,3.5570e+27,3.5100e+27,42.7,55.8,1.2,0.2,2.8391e+30,2.8014e+30,3.2905e+28,4.8830e+27,1.5002e+28,0.0000e+00,98.7,1.2,0.2
194,2.8319e+30,1.2068e+30,1.5827e+30,3.5364e+28,7.0640e+27,8.8987e+29,3.1692e+29,1.1062e+30,4.7656e+29,2.3583e+28,1.1781e+28,3.5180e+27,3.5460e+27,42.6,55.9,1.2,0.2,2.8314e+30,2.7935e+30,3.2885e+28,5.0830e+27,1.5024e+28,0.0000e+00,98.7,1.2,0.2
195,2.8254e+30,1.2058e+30,1.5765e+30,3.5931e+28,7.0740e+27,8.7760e+29,3.2821e+29,1.0824e+30,4.9411e+29,2.3874e+28,1.2057e+28,3.4650e+27,3.6090e+27,42.7,55.8,1.3,0.3,2.8259e+30,2.7874e+30,3.3231e+28,5.2450e+27,1.5099e+28,0.0000e+00,98.6,1.2,0.2
196,2.8123e+30,1.2002e+30,1.5701e+30,3.4872e+28,7.0640e+27,8.7937e+29,3.2087e+29,1.0936e+30,4.7645e+29,2.3171e+28,1.1701e+28,3.4650e+27,3.5990e+27,42.7,55.8,1.2,0.3,2.8122e+30,2.7746e+30,3.2530e+28,4.9930e+27,1.5130e+28,0.0000e+00,98.7,1.2,0.2
